"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";0,104450431180242;0,112974079692988;-0,471667834720522;0,0179528365640131;-0,154239146944626;0,0347716366359804;0,200471934618641;0,216831391329842;-0,905273077912334;0,0344569173838008;-0,296031522632593;0,0667372761175347;0,00335622130840218;0,00203704224589695;0,0274430575440515;3,50297498569677e-05;0,00251926722860121;0,00011861307086974;0,000279146093103366;0,000326564298544104;0,00569224521811328;8,24664375812478e-06;0,00060869580520022;3,09357995350982e-05;0,0255865116193082;1,0985612989888;0,0308787470715675
"classe 2";0,00306882419018216;0,758385116410173;-0,577557477193965;0,134828015321694;0,259257926300435;0,479236155322798;0,00277407662076287;0,685545437141222;-0,522085527009436;0,121878355340248;0,23435730023192;0,433207551790818;1,03035759818686e-06;0,0326464421463765;0,0146340400959716;0,000702659640674935;0,00253141260454296;0,00801300252614378;9,9241624093489e-08;0,00606079294765689;0,00351512089799994;0,000191562337872928;0,000708294600567065;0,00242018740204634;0,0105377974154665;1,84211769007845;0,0357589362913791
"classe 3";0,030374901782679;0,554500192151255;-0,710637873959108;1,18449708594321;-0,149433848134658;-0,00869620151646493;0,0203003477052687;0,370587097987844;-0,474938027359457;0,791630632176613;-0,0998705805791193;-0,00581190075156033;0,000117027561677297;0,0202336432808418;0,0256853181962481;0,0628734295614179;0,000975014881489507;3,05893149088258e-06;2,01444146246331e-05;0,00671317995444927;0,0110260913629984;0,0306332362563826;0,000487554139091533;1,65114067927152e-06;0,0218335767502912;1,71084300100834;0,0639065248786527
"classe 4";-0,239899740368022;0,758759647104562;-0,21251975355451;0,155182936668477;2,36103369460314;7,92669898827967;-0,0288576353230829;0,0912715001709658;-0,0255640858035919;0,0186670172626036;0,284009683544663;0,953505778575309;0,00191773793343981;0,00995291855025202;0,000603473451472927;0,000283503484230551;0,0639424046946345;0,667677289495608;0,000572422664779919;0,00572618950871569;0,000449216678563309;0,00023952188316323;0,0554449039136573;0,624945288231445;0,00994620177108946;3,33790907197915;0,110816969391706
"classe 5";0,0859491025610503;0,158062211751668;-0,383893092574805;-0,420948137020281;1,69080580283336;1,16867005364514;0,0401545572391558;0,0738450773772959;-0,179350996114964;-0,196662740610823;0,789927484605713;0,545990908159257;0,00107659370879167;0,00188902432203104;0,00861230892314534;0,009123618014016;0,143420587168167;0,0634753559362912;0,000112944007082108;0,000381976467845421;0,00225320701590908;0,00270917888869348;0,0437087069089892;0,0208816268358007;0,0152890499343699;1,59608046033584;0,0389484393940039
"classe 6";0,0873550978113041;0,15527918778288;-0,377562688260715;-0,409056534370772;1,61801629299055;1,08000473772339;0,0430054106393822;0,076444825793422;-0,18587625516527;-0,201380854421769;0,796558607851106;0,531692464458124;0,00121843254585981;0,00199739417591142;0,00912710360679361;0,0094391397711727;0,143894984046262;0,0593920713844107;0,000110179940133094;0,000348138877628385;0,00205827861872696;0,00241597642733957;0,0378000004019714;0,0168413671843261;0,0144386311955778;1,52484908029886;0,033572195827671
"classe 7";0,110264093925619;-0,135490402859886;0,136058649408658;0,195647497445544;0,19514525321608;0,466803313331536;0,188192284748769;-0,231247068451252;0,232216918313586;0,333919667217264;0,33306246624023;0,796712501201136;0,00148936774489819;0,00116671043316187;0,000909318209319957;0,00165662067721572;0,00160584858556865;0,00851243377953033;0,000237584554224628;0,000358729461007574;0,000361744792579281;0,000747994786976325;0,000744159380199586;0,00425811941612331;0,01954114362833;1,74089466489363;0,0592236221480032
"classe 8";0,161272690550365;-0,707970455532176;1,55934804210668;-0,134697552420699;-1,56233883956266;0,469148909405218;0,0679204331753022;-0,29816368692655;0,656723677948868;-0,0567282413212406;-0,657983260448897;0,197583341865136;0,010754228208475;0,10752269704471;0,403156403917035;0,00265043866954469;0,347426495800504;0,0290222564897818;0,00237917475715861;0,0458495364645699;0,22242868746475;0,00165967896226678;0,223282732991636;0,020133816339545;0,0914754765118042;0,947568381472677;0,0821345348446188
"classe 9";0,159140478297101;-0,721818695030933;1,60564535993608;-0,100517127730101;-1,56778049896182;0,517031428080884;0,0657414148367246;-0,298185494820121;0,663296973955009;-0,0415239306995409;-0,647654884904627;0,213587252978042;0,00981231940290647;0,104731881594506;0,400534080074833;0,00138302892891591;0,327820242154208;0,033029075111517;0,000954202361851325;0,0196306835088124;0,0971355998336161;0,000380679341608938;0,0926082516903201;0,0100719382550961;0,0376772476012645;0,978890635891658;0,0361033513042859
"classe 10";0,102229526403017;-0,127044367244493;-0,245273829187631;-0,51191905050358;0,475920274026705;-0,7759692170096;0,0942121651025274;-0,11708089945559;-0,226038203480048;-0,471771745425486;0,438596176758973;-0,715113750005884;0,010605977353506;0,00849808600781174;0,0244810634322003;0,0939596405119651;0,0791263807775634;0,19486738276214;0,00110496312207648;0,00170649851676762;0,006360591560431;0,0277075208907485;0,0239476828538276;0,06366255611921;0,105729234068514;0,604839790730069;0,0386790496615666
