"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,371260467041466;15,0212699246196;15,0212699246196
"facteur 2";0,192615397842256;7,79325605465919;22,8145259792788
"facteur 3";0,14887047207255;6,02332794177501;28,8378539210538
"facteur 4";0,131165455613126;5,30697956949566;34,1448334905494
"facteur 5";0,127800807715567;5,17084526822383;39,3156787587733
"facteur 6";0,118394322106114;4,79025705071815;44,1059358094914
"facteur 7";0,106596377557018;4,31290994441318;48,4188457539046
"facteur 8";0,0910392245602329;3,68346454106727;52,1023102949719
"facteur 9";0,0876562126761173;3,54658722936626;55,6488975243381
"facteur 10";0,0693749230882836;2,80692273544017;58,4558202597783
"facteur 11";0,0663572188097112;2,68482583974228;61,1406460995206
"facteur 12";0,0574711324855088;2,32529307743929;63,4659391769598
"facteur 13";0,054264735274081;2,19556162937476;65,6615008063346
"facteur 14";0,051405201327587;2,0798643357437;67,7413651420783
"facteur 15";0,0496731545017755;2,00978538793672;69,751150530015
"facteur 16";0,0471333414116395;1,90702406166614;71,6581745916812
"facteur 17";0,0443124175419227;1,79288893916982;73,451063530851
"facteur 18";0,0422912690367388;1,71111288179413;75,1621764126451
"facteur 19";0,041389351913788;1,6746211414765;76,8367975541216
"facteur 20";0,0389401285807122;1,57552509420546;78,4123226483271
"facteur 21";0,0368120509731007;1,48942266477308;79,9017453131002
"facteur 22";0,034552720515253;1,39800971976794;81,2997550328681
"facteur 23";0,034387916837798;1,39134173127095;82,6910967641391
"facteur 24";0,0324917432755809;1,31462218413207;84,0057189482711
"facteur 25";0,0321728557887393;1,30171993506256;85,3074388833337
"facteur 26";0,031235980106005;1,26381376469028;86,571252648024
"facteur 27";0,0283665949891334;1,14771789081045;87,7189705388344
"facteur 28";0,0265926713990545;1,07594460106438;88,7949151398988
"facteur 29";0,0263013908524548;1,06415933410846;89,8590744740073
"facteur 30";0,0256999677906886;1,03982564131948;90,8989001153267
"facteur 31";0,0249505010245095;1,00950207176729;91,908402187094
"facteur 32";0,0241860286451105;0,978571372217253;92,8869735593113
"facteur 33";0,0226030343559883;0,914523118721466;93,8014966780328
"facteur 34";0,0218925608650856;0,885777224589021;94,6872739026218
"facteur 35";0,0207244397288386;0,838514818677488;95,5257887212993
"facteur 36";0,0197147891611126;0,797664162457027;96,3234528837563
"facteur 37";0,0188242819011924;0,761634067392797;97,0850869511491
"facteur 38";0,0183155825811703;0,741051995034232;97,8261389461833
"facteur 39";0,0182307792913609;0,737620837612938;98,5637597837963
"facteur 40";0,0133152815580472;0,538738853612972;99,1024986374092
"facteur 41";0,0118242483166498;0,478411361800844;99,5809099992101
"facteur 42";0,00687202280673659;0,278043364893474;99,8589533641036
"facteur 43";0,00281528908723369;0,113907138112957;99,9728605022165
"facteur 44";0,00067077035915952;0,0271394977834895;100
