"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"livre";0,218499271299514;-0,755853227863306;1,40420294486312;0,0273164238529525;-1,4431042308143;0,630888802697441;0,097018281813234;-0,335614764452755;0,623495704207443;0,0121290679448659;-0,640768695100557;0,280127925776979;0,00726533654568408;0,0451069009588649;0,120322090415048;4,01184551996175e-05;0,109095300402504;0,0193158381645879;4,41311230689194e-05;0,000528104584932224;0,00182265618158498;6,89751541027298e-07;0,0019250428176537;0,000367917658546718;0,000924368194339169;1,56192968175156;0,00225511113746883
"le";0,102351205243924;-0,0451428147909195;-0,143909626691041;0,0193264040219726;0,305809186033069;0,171969663904395;0,258566573554736;-0,114042847988808;-0,363554283375208;0,0488236758442331;0,772555957750456;0,434441457188005;0,0464490854731317;0,00468792668610794;0,0368214424433098;0,000585105417896396;0,142740492554451;0,041816444059315;0,000286824318412362;5,57965463765358e-05;0,000567034836647493;1,02266208921039e-05;0,00256053727027288;0,000809717886789328;0,0273797859163262;0,289363487869192;0,00229254310021282
"barbare";-0,296888049851017;0,81950936898885;0,12570232592321;-0,271039847702515;0,148322486602278;0,145946115851347;-0,314294568394006;0,867557126500866;0,133072241513202;-0,286930888575632;0,15701862009327;0,154502922947888;0,0545844595931322;0,215776290315451;0,0039237386028085;0,016072766508404;0,00468977998041358;0,0042064994087948;0,000583369138371888;0,00444493958141021;0,000104579038246969;0,000486210468603866;0,000145603566053763;0,00014097532317927;0,00661847627146845;0,774279146838989;0,00396783077791568
"l";0,0291954043751093;-0,250299665385556;0,103219148360415;-0,218331193592481;-0,355224240199674;-0,166305238940186;0,0556060888091879;-0,476725214815153;0,196593034191071;-0,415837492255117;-0,676566434700922;-0,316747929472945;0,00502235356855478;0,191518674352478;0,0251726359700141;0,0992317469510767;0,255940122526002;0,0519687562619692;2,96094785679787e-05;0,00217631776751577;0,000370102750426517;0,001655897108012;0,00438335815738281;0,000960757162291911;0,034737756743266;0,251015307483893;0,00218878035804343
"en";-0,0368847562887716;-0,0655326085188808;-0,19939987409115;-0,140193441933091;0,290460146231183;-0,289429370300599;-0,0763795474309579;-0,135702427893389;-0,412909658983116;-0,290307235970471;0,601473799695979;-0,59933930818777;0,00581758592713488;0,00952743898554943;0,0681755403002346;0,0296923883661819;0,12418723719629;0,114231620592918;2,65854376057303e-05;8,39198864452193e-05;0,000776961924265733;0,000384065567788109;0,00164862955116217;0,00163694910308517;0,01954114362833;0,29465571459131;0,0016966009794489
"nous";0,166960457967092;-0,589004598684401;1,12948678544726;-0,0310130850541803;-0,886778586437298;0,849356243785285;0,0939331976857527;-0,331378375932248;0,635457681373718;-0,0174481927320394;-0,498908240175797;0,477854151363413;0,00685367950796003;0,0442533552373369;0,12577337204641;8,35463042727326e-05;0,0665551741564342;0,0565624839638835;9,84318417887446e-05;0,00122502718934448;0,00450474970167856;3,39623940977915e-06;0,00277676260229008;0,00254734709122952;0,00353108650237563;1,22882796040805;0,00533200472998455
"face";-0,594577212073924;-0,740643031832161;1,21131019963772;-0,605592506847743;-1,39846984595777;0,0891890991313167;-0,27426497711491;-0,341641825570856;0,558749910754051;-0,279346082659668;-0,645082408993858;0,0411409077499404;0,105712851645628;0,0851023289776308;0,175934849887838;0,0387447639113427;0,201313255749531;0,000758554852270342;0,000424819914082639;0,000659183349154199;0,00176318992038444;0,000440706374124322;0,00235014446309838;9,5589876550744e-06;0,00120167865264092;1,11425276258565;0,00149195520937741
"aux";0,16072638996382;0,140624317650843;-0,402599094051469;0,163546220130987;0,710847763690907;-0,454753885905393;0,16520228535154;0,14454041216971;-0,413810640758707;0,168100641919021;0,730643394188122;-0,467417834998817;0,0190824852992991;0,00757868240380386;0,0480104748541439;0,00698043269289178;0,128489799349335;0,0487153202847785;6,78168657479781e-05;5,19139638294108e-05;0,000425509166689672;7,02173372449558e-05;0,00132652835271117;0,000542895412137691;0,00262520567192324;0,7089393379133;0,00131941520488463
"récit";0,193418814511449;-0,538448923922631;0,513921624128353;-0,831736465093121;0,426863637523019;-0,510615830990524;0,147216218250098;-0,409827836557402;0,391159454535103;-0,633056806190208;0,324897299072733;-0,388643327211618;0,00661244207215662;0,0265867816198142;0,0187192346617362;0,0431992986770092;0,0110865816540473;0,0146962037890828;1,93655776117358e-05;0,000150079732725524;0,000136718348725449;0,000358100152081433;9,43216398495634e-05;0,000134965128247361;0,000517646188829935;1,44929612231782;0,00108729472564074
"d";0,0485337401415792;0,469467067529484;0,0457155864529227;-0,0325832055151675;0,312825927019895;-0,291550125572352;0,0759111083598552;0,734288462637624;0,0715032640558664;-0,0509630462716865;0,489287715607872;-0,456010460147736;0,00699125782460095;0,339383213683312;0,00248728898746424;0,00111325890619166;0,0999834618409327;0,0804537759137761;4,97311628642998e-05;0,00465319613242471;4,41234725312338e-05;2,24144821067652e-05;0,00206607733677152;0,00179459956875769;0,0211125695587066;0,353675889656991;0,00264090028071151
"des";0,143898320558375;0,0456316509278023;-0,366156442600437;0,186819905747374;0,155025697534306;-0,276152184152387;0,266271084088362;0,0844373243144181;-0,677540033398825;0,345693672029055;0,286861308622908;-0,510995132968183;0,0829712767605797;0,00432873481440544;0,215416785719133;0,0494086952159737;0,0331496236843851;0,097446322942888;0,000394679987169142;3,96886217846796e-05;0,00255544780484737;0,000665242446546463;0,000458079696618184;0,00145355215664917;0,0190604721672737;0,304390568750571;0,00176602171364865
"français";0,154593248668566;0,58183197358879;-0,26192307808424;0,0215406117946119;0,487443042964231;-0,254062395572975;0,180487839546448;0,679289663659414;-0,305795569327423;0,0251486951649057;0,569090451777594;-0,29661821122131;0,00355246639936727;0,0261069654183572;0,00408908673051036;2,43672076860248e-05;0,0121577042954798;0,0030597213549845;1,54640797671801e-05;0,000219047449523173;4,43905540507535e-05;3,00233467249932e-07;0,000153741384050915;4,17660891747197e-05;0,000647057736037418;1,58039223639224;0,00161611703850383
