"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";-0,131728661352667;0,93152006298044;0,23171694394003;-0,852079299937906;0,538276418319597;-0,524168265758236;-0,0882257297083239;0,623888806357546;0,15519323019734;-0,570683078643897;0,360512505808348;-0,351063521496346;0,0313804232658091;0,487821723184764;0,00999290523856453;0,105879064038704;0,0365665107007875;0,0241223132709699;0,00048896808754015;0,0244514368672682;0,00151298820732127;0,0204587920772165;0,0081645201802802;0,00774214690233448;0,0281786354709248;0,170656621014626;0,000820665626993668
"classe 2";-0,258594195064594;1,45252494626081;-1,17729955357742;-0,239314089327088;-0,892210239683839;-0,705657442167077;-0,116654458463298;0,655248703352218;-0,53109174332916;-0,107957007643251;-0,402485068621626;-0,318329213677956;0,0410769239240423;0,402889584165608;0,08762182085493;0,00283693071891043;0,0341247398582364;0,0148500353415692;0,00076705649849445;0,0242012061014579;0,0158987788762132;0,000656940968327008;0,00913112350365944;0,00571186142804116;0,0114706970654371;0,29281416174802;0,000983499095666149
"classe 3";-0,65127070117575;0,788140613158105;-0,3283368329527;0,0066390423602098;-0,679069581083231;-0,293871819050225;-0,499404239222327;0,604358161059399;-0,251773657211031;0,00509091825116611;-0,520720841437605;-0,225345362468647;0,439873738515073;0,200258443765245;0,0115059400488836;3,68610460380995e-06;0,0333739859076622;0,00434810576403961;0,00935038015682147;0,0136934727299576;0,0023765414642631;9,71666132703761e-07;0,0101656403271925;0,00190380327190099;0,022044801184072;0,225356342884618;0,00111955583781818
"classe 4";-1,15680432632927;0,306242881937687;-4,404659105594;-1,68957614652715;0,088434260957264;-0,0891015594601045;-0,237604305603427;0,0629014135343792;-0,904704403661247;-0,347034116248134;0,018164144694184;-0,0183012059013293;0,327339894403737;0,00713164317240794;0,488406774096115;0,0563101251126763;0,000133504161540259;9,42820472713739e-05;0,0149691494042567;0,00104908172304778;0,217021079376695;0,0319324950639289;8,74819421867073e-05;8,88071483790583e-05;0,0111860643839126;0,464015724021084;0,00240847814620308
"classe 5";0,0437491435933797;1,02279658441611;-1,12062096108881;0,0732193004967665;0,256618928016097;1,74048035626361;0,0188191348797385;0,439966255238317;-0,48204639642326;0,0314960197771109;0,110387217265657;0,748685160205439;0,00180903363515506;0,307372165940414;0,122152668220183;0,000408611423935187;0,0043436965218132;0,139003279382821;3,07530236680477e-05;0,0168084338249267;0,0201774460064509;8,6139007126508e-05;0,00105809846284137;0,0486728708313994;0,0160675148720576;0,236057877341772;0,000895335296200317
"classe 6";0,0171415266099754;1,01154106883623;-0,765726793041861;0,101021699787729;0,251928373706788;1,97319035751213;0,00725853823057001;0,428334633606475;-0,324245169519011;0,0427773958942302;0,106678464148688;0,835542712856103;0,000283820698306558;0,307249071570798;0,0582868655928858;0,00079492514863394;0,0042783253556356;0,182583825955686;4,46606475490121e-06;0,0155522439963913;0,00891196984387557;0,00015511555984838;0,00096467314278724;0,0591785051047935;0,0151993851934079;0,233506905011964;0,00082875369264037
"classe 7";0,112797698560772;-0,634444335698039;-0,264719767704036;2,25290513863385;-0,828192344464967;-0,856802033421392;0,042691765512456;-0,240125012796548;-0,100191354908218;0,852681385591783;-0,313454918143212;-0,324283136696394;0,00889258750030437;0,0874567205262604;0,00504055503159261;0,286065381618711;0,0334552797336448;0,0249096663945325;0,00025295988327851;0,00800273108322317;0,0013932335398678;0,100910645895097;0,0136368353901494;0,0145952706158259;0,0198815928044858;0,274510162960721;0,00149819391892956
"classe 8";0,419180890874207;-1,22609340167133;0,0953310524632514;0,0593810362771121;-0,104008264107514;-0,906881568810239;0,263803643837141;-0,771618921776274;0,0599948126408804;0,03737034317585;-0,0654556532944909;-0,570728932518725;0,229581552128705;0,610603957938863;0,0012220268697267;0,000371519320137023;0,000986380103860377;0,0521692328563884;0,0145239360820871;0,124259180998555;0,000751190612049453;0,000291458631229161;0,000894163777181564;0,0679802139947565;0,0826573307147127;0,20077297068456;0,00333189929239715
"classe 9";0,550740659614656;-1,53027536793761;-0,144784307990605;-0,114660975301089;-0,310755640565296;-0,868958762831176;0,293095386048285;-0,814388118792018;-0,0770518971196562;-0,0610207404044934;-0,165379190455804;-0,462445979983109;0,259831823255256;0,623613782451355;0,00184807245576021;0,000908199266294273;0,00577312117238355;0,0314033267991266;0,0101916625718659;0,0786846343715718;0,000704358476062271;0,000441755554404257;0,00324480644815374;0,0253716720985123;0,0336008880539664;0,247955206813244;0,00206584256122549
"classe 10";0,0731031357125447;0,445469156575957;0,44561486100955;-0,0106634359183708;0,197966969669295;-0,293458124416985;0,100625679164473;0,613183497402132;0,613384057986088;-0,0146781047222406;0,272499402124649;-0,403941948426219;0,0308698253061227;0,356349298712452;0,11804821813329;5,29673578743854e-05;0,0157987309224485;0,0241509210910446;0,000557329769859923;0,0206954802408918;0,0207090206457684;1,18586310165421e-05;0,00408719821356787;0,0089811614653212;0,104289414510574;0,0954863258448635;0,000950873172890436
