"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,052667720841081;52,4604444401751;52,4604444401751
"facteur 2";0,0163728014223356;16,3083654585731;68,7688098987482
"facteur 3";0,00542028933431965;5,39895751955446;74,1677674183027
"facteur 4";0,00424713776585034;4,2304229466746;78,3981903649773
"facteur 5";0,0036755225988311;3,6610573992066;82,0592477641839
"facteur 6";0,00255695914773834;2,54689610948753;84,6061438736714
"facteur 7";0,00217893084683839;2,17035555752374;86,7764994311951
"facteur 8";0,00207730601281841;2,06913067302696;88,8456301042221
"facteur 9";0,00167247778828995;1,66589566984975;90,5115257740718
"facteur 10";0,00137524282388853;1,36983048824243;91,8813562623143
"facteur 11";0,00110837882897336;1,10401674967999;92,9853730119943
"facteur 12";0,00108965449216272;1,08536610341607;94,0707391154103
"facteur 13";0,000950582790436958;0,946841725199687;95,01758084061
"facteur 14";0,000814880122080625;0,811673121356514;95,8292539619665
"facteur 15";0,000713270053983787;0,710462944670858;96,5397169066374
"facteur 16";0,000660325906864122;0,657727161841289;97,1974440684787
"facteur 17";0,000634380060987351;0,631883427114686;97,8293274955934
"facteur 18";0,000553371271491637;0,551193451686872;98,3805209472802
"facteur 19";0,000435729044675021;0,434014211629123;98,8145351589094
"facteur 20";0,000369037557551946;0,367585192127604;99,182120351037
"facteur 21";0,000286733528187868;0,285605074311514;99,4677254253485
"facteur 22";0,00020234505348391;0,201548714592508;99,669274139941
"facteur 23";0,000171942554500146;0,171265866135998;99,840540006077
"facteur 24";0,000113320803190833;0,112874823606791;99,9534148296838
"facteur 25";4,67692329283863e-05;0,0465851703162262;100
