"";"banalfreq";"X.date_2020.06.26";"X.date_2020.07.13";"X.date_2020.12.16";"X.date_2021.01.23";"X.date_2021.03.23";"X.date_2021.03.24";"X.date_2021.04.04";"X.date_2021.05.20";"X.date_2021.05.21";"X.date_2021.08.21";"X.date_2021.08.23";"X.date_2021.10.19";"X.date_2021.10.21";"X.date_2021.12.03";"X.date_2022.04.20";"X.date_2022.05.09";"X.date_2022.06.16";"X.date_2022.06.23";"X.date_2022.06.25";"X.date_2022.09.19";"X.date_2022.10.25";"X.date_2023.01.15";"X.date_2023.02.05";"X.date_2023.04.05";"X.date_2023.05.22";"X.date_2023.08.10";"X.date_2023.10.27";"X.date_2023.11.29";"X.date_2023.12.19";"X.date_2024.01.28";"X.date_2024.02.10";"X.date_2024.02.17";"X.date_2024.09.26";"X.date_2024.11.12";"X.date_2025.03.21";"X.date_2025.04.15";"X.date_2025.04.27";"X.date_2025.06.03";"X.date_2025.06.19";"X.date_2025.06.29";"X.date_2025.07.07";"X.date_2025.08.06";"X.date_2025.08.07";"X.date_2025.09.12";"X.date_2026.03.11"
"expression";12;-0,1351;-0,0552;0,6331;-0,0521;-0,0803;-0,0758;-0,1029;0,5205;0,4326;-0,1988;0,3243;0,4144;-0,0311;-0,0301;-0,1418;-0,0404;1,4596;-0,0384;-0,0237;-0,059;1,1193;-0,0389;-0,0082;-0,0719;-0,0706;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;-0,269;1,0757;-0,2055;-0,0395;-0,0489;-0,0278;-0,0294;-0,0392;-0,0349;-0,2886;-0,1;-0,3266;-0,2701;-0,0793;-0,0376
"révéler";12;-0,1351;-0,0552;-0,1151;0,9467;-0,0803;-0,0758;-0,1029;-0,5;-0,2002;-0,5824;-0,279;0,4144;-0,0311;-0,0301;-0,1418;-0,0404;0,5828;-0,0384;-0,0237;-0,059;-0,0343;-0,0389;-0,0082;0,8165;-0,0706;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;0,3356;-0,2175;-0,2055;-0,0395;-0,0489;1,2072;-0,0294;-0,0392;-0,0349;0,8732;1,678;0,2769;-0,2701;-0,0793;1,0811
"culture";20;-0,2252;-0,092;-0,1918;-0,0868;-0,1338;0,5979;0,4866;0,9831;0,2707;-0,4437;-0,1428;1,3661;-0,0519;-0,0501;-0,2364;-0,0674;0,4019;-0,064;-0,0394;-0,0984;-0,0572;-0,0648;-0,0137;-0,1198;-0,1177;-0,198;-0,0396;1,1633;-0,0536;-0,0352;-0,4484;0,7076;-0,3425;-0,0658;-0,0815;-0,0464;-0,049;-0,0653;-0,0582;0,5325;-0,1667;-0,1838;-0,1355;-0,1322;-0,0627
"appuyer";26;0,8469;-0,1196;-0,2493;-0,1129;-0,174;-0,1643;-0,2229;0,6774;0,1995;1,2992;1,3564;-0,4577;-0,0674;-0,0651;-0,3073;-0,0876;0,3176;-0,0832;-0,0513;-0,1279;-0,0744;-0,0843;-0,0178;-0,1558;-0,153;-0,2574;-0,0515;-0,0402;-0,0697;-0,0458;-0,5829;-0,4714;1,7728;-0,0855;-0,1059;-0,0603;-0,0637;-0,0849;-0,0756;0,3849;-0,2167;0,324;-0,5854;-0,1719;-0,0815
"propre";19;-0,2139;-0,0874;1,1956;-0,0825;0,5955;0,6171;0,5048;0,2763;0,2857;-0,9223;-0,4417;0,27;-0,0493;-0,0476;-0,2246;-0,064;0,4191;-0,0608;-0,0375;-0,0934;-0,0543;-0,0616;-0,013;-0,1138;-0,1118;-0,1881;-0,0376;1,1848;-0,051;-0,0335;1,1708;-0,3444;-0,3254;-0,0625;-0,0774;-0,0441;0,9933;-0,062;-0,0553;-0,1385;-0,1584;-0,5171;1,1666;-0,1256;-0,0596
"décrire";20;-0,2252;-0,092;-0,1918;-0,0868;-0,1338;-0,1263;-0,1714;0,9831;0,7623;0,4488;-0,1428;0,2554;-0,0519;-0,0501;-0,2364;-0,0674;1,0568;-0,064;-0,0394;0,6932;-0,0572;-0,0648;-0,0137;-0,1198;-0,1177;-0,198;-0,0396;-0,0309;-0,0536;-0,0352;-0,4484;-0,3626;-0,3425;-0,0658;0,7668;-0,0464;-0,049;-0,0653;-0,0582;1,6913;-0,1667;-0,5443;-0,1355;-0,1322;-0,0627
"où";88;0,724;-0,4052;-0,8444;0,2326;0,4087;0,4395;1,5331;-0,5298;-0,4546;-1,8811;-0,8053;0,5663;0,3883;1,0388;0,6747;0,3054;1,6416;0,3212;-0,1736;0,1999;-0,2519;-0,2853;-0,0602;-0,5276;0,9363;1,3101;-0,1743;-0,136;-0,2362;0,5222;1,1234;-1,5963;-0,8505;0,3128;-0,3588;-0,2042;-0,2156;0,315;1,6713;0,2867;-0,7339;-0,4257;-0,2673;-0,2107;1,5876
"entendre";30;0,7484;-0,1381;-0,2877;0,5864;0,4316;0,4514;-0,2572;-1,2503;-0,5005;1,0433;0,3296;-0,1776;-0,0778;-0,0751;-0,3546;-0,1011;0,7662;-0,096;-0,0592;0,5405;-0,0858;-0,0972;-0,0205;0,4699;-0,1766;-0,2971;-0,0594;-0,0463;-0,0805;-0,0529;-0,2594;1,4852;-0,17;-0,0987;-0,1222;-0,0696;-0,0735;-0,0979;-0,0873;0,6617;-0,2501;0,2586;-0,261;-0,1983;-0,0941
"y";162;-0,3952;0,292;-0,5079;-0,284;-0,2607;-0,2329;1,8311;1,8963;1,3612;-1,4216;0,4717;0,5008;0,2073;-0,4063;-0,4379;1,4252;1,2939;0,4766;-0,3199;-0,7978;-0,1473;-0,5256;-0,1108;-0,9719;-0,4473;-0,9297;-0,3212;-0,2506;1,1026;-0,2859;0,3677;-0,2965;0,7524;-0,5335;0,7133;-0,3762;-0,3971;-0,1821;-0,4718;-1,2246;-1,352;0,2797;-0,2468;0,3531;0,4881
"longtemps";12;0,5729;-0,0552;-0,1151;-0,0521;-0,0803;-0,0758;-0,1029;1,7212;0,4326;-0,5824;-0,279;-0,2112;-0,0311;-0,0301;-0,1418;-0,0404;0,5828;-0,0384;-0,0237;-0,059;-0,0343;-0,0389;-0,0082;-0,0719;-0,0706;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;-0,269;-0,2175;1,1178;-0,0395;-0,0489;-0,0278;-0,0294;-0,0392;-0,0349;0,3138;-0,1;0,2769;0,3343;-0,0793;-0,0376
