"";"X.date_2020.06.26";"X.date_2020.07.13";"X.date_2020.12.16";"X.date_2021.01.23";"X.date_2021.03.23";"X.date_2021.03.24";"X.date_2021.04.04";"X.date_2021.05.20";"X.date_2021.05.21";"X.date_2021.08.21";"X.date_2021.08.23";"X.date_2021.10.19";"X.date_2021.10.21";"X.date_2021.12.03";"X.date_2022.04.20";"X.date_2022.05.09";"X.date_2022.06.16";"X.date_2022.06.23";"X.date_2022.06.25";"X.date_2022.09.19";"X.date_2022.10.25";"X.date_2023.01.15";"X.date_2023.02.05";"X.date_2023.04.05";"X.date_2023.05.22";"X.date_2023.08.10";"X.date_2023.10.27";"X.date_2023.11.29";"X.date_2023.12.19";"X.date_2024.01.28";"X.date_2024.02.10";"X.date_2024.02.17";"X.date_2024.09.26";"X.date_2024.11.12";"X.date_2025.03.21";"X.date_2025.04.15";"X.date_2025.04.27";"X.date_2025.06.03";"X.date_2025.06.19";"X.date_2025.06.29";"X.date_2025.07.07";"X.date_2025.08.06";"X.date_2025.08.07";"X.date_2025.09.12";"X.date_2026.03.11"
"livre";0,72;0;0;0;0;0;6,62;2,43;2,94;0,35;0,35;0;0;3,22;1,38;0;3,71;0;0;0;0;2,49;11,76;0;1,37;0;0;0;0;0;0;3,17;0;0;0;0;0;0;0;0;0;0,3;0,73;0;0
"le";33,96;38,6;22,86;35,32;41,11;39,69;32,17;23,44;24,04;29,38;25,9;32,12;15,53;19,29;24,79;14,35;17,06;37,78;4,08;32,84;30,99;29,85;47,06;16,19;34,34;23,79;12,2;20,83;15,02;31,96;25,73;32,56;28,22;17,16;31,68;20,83;29,61;51,85;36,01;16,13;59,34;25,57;25,26;22,03;41,13
"barbare";5,78;5,26;5,93;5,58;8,46;7,68;4,73;3,23;3,43;5,42;6,74;4,19;12,42;9,65;5,51;0;13,35;12,59;12,24;9,85;14,08;9,95;70,59;25,64;8,24;5,74;24,39;20,83;12,01;18,26;4,41;4,98;1,91;9,8;7,92;10,42;16,45;29,63;8,31;6,52;5,84;8,52;2,56;3,67;10,28
"l";38,29;26,32;27,1;16,73;21,77;23,05;37,84;48,5;44,65;37,42;40,79;33,99;12,42;57,88;37,19;26,32;23;22,67;32,65;22,99;30,99;34,83;23,53;13,5;23,35;38,56;28,46;36,46;39,04;31,96;40,06;40,25;22,48;22,06;33,66;38,19;55,92;19,75;36,01;28,48;22,37;37,14;34,41;26,93;33,42
"en";23,12;12,28;24,56;7,43;19,35;19,21;19,87;14,15;14,23;21,33;19,16;11,64;18,63;25,72;19,28;38,28;17,8;17,63;28,57;18,06;16,9;27,36;0;10,8;28,85;13,13;20,33;5,21;6,01;9,13;30,87;26,23;15,3;34,31;21,78;17,36;26,32;12,35;19,39;16,82;24,32;24,35;19,4;20,81;15,42
"nous";1,45;1,75;2,54;1,86;1,21;1,28;2,84;6,87;8,34;1,05;0,71;1,4;6,21;9,65;6,2;2,39;17,06;7,56;0;1,64;2,82;0;0;0;2,75;0;0;10,42;6,01;9,13;0,37;6,33;0,48;4,9;0;0;3,29;2,47;27,7;6,18;0,97;0,3;1,1;15,91;0
"face";1,45;1,75;0;0;1,21;1,28;0;3,64;2,94;0,35;0,35;0,47;0;0;1,38;0;1,48;0;4,08;0;0;0;0;0;0;0,82;8,13;0;0;0;2,57;0,9;0;0;1,98;0;0;2,47;0;3,09;0;0,3;0,73;0;2,57
"aux";7,23;1,75;3,39;0;2,42;2,56;0,95;0,4;0,49;2,27;1,06;4,19;6,21;0;4,13;2,39;0,74;2,52;0;0;0;0;0;2,7;6,87;0,82;0;5,21;3;0;4,41;3,62;3,83;7,35;0;3,47;6,58;2,47;0;3,77;2,92;2,44;4,03;6,12;0
"récit";0;0;0;0;0;0;0;0,4;0,49;0,52;0,35;0;0;0;0,69;0;3,71;0;0;0;0;0;0;0;2,75;0;0;0;0;0;0,74;0;0;0;0;0;0;0;0;1,03;0;1,83;0,73;0;0
"d";25,29;19,3;32,18;20,45;14,51;15,36;15,14;14,55;13,74;26,93;27,67;18,16;18,63;16,08;15,15;43,06;18,55;20,15;12,24;19,7;16,9;34,83;35,29;55,33;27,47;9,84;16,26;20,83;9,01;13,7;20,58;17,64;20,56;4,9;11,88;20,83;23,03;7,41;22,16;19,9;15,56;22,83;24,16;37,94;28,28
"des";21,68;10,53;20,32;18,59;19,35;20,49;18,92;12,93;10,79;22,38;20,22;14,43;6,21;12,86;26,86;9,57;13,35;30,23;0;9,85;2,82;14,93;0;17,54;12,36;25,43;4,07;5,21;21,02;4,57;21,32;21,71;28,69;12,25;19,8;34,72;13,16;19,75;16,62;18,19;15,56;22,22;25,62;26,93;23,14
"français";2,17;0;1,69;0;0;0;4,73;0;0;0,7;1,06;0,47;0;3,22;0,69;2,39;0,74;0;0;0;2,82;4,98;0;1,35;1,37;0;0;0;6,01;0;0;0;0;0;0;0;0;0;0;0,34;0;0,91;0,37;1,22;0
"de";70,09;105,26;74,51;66,91;58,04;56,34;41,63;46,48;44,16;69,24;69,17;56,8;46,58;77,17;59,23;52,63;48,22;47,86;36,73;50,9;61,97;57,21;94,12;60,73;78,3;74,65;36,59;72,92;81,08;45,66;59,54;56,08;53,08;83,33;71,29;72,92;72,37;56,79;63,71;51,48;82,68;62,1;75,04;59,98;43,7
"immigration";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,44;0;5,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"qu";5,06;1,75;3,39;7,43;8,46;7,68;10,41;10,91;12,27;6,82;7,8;10,71;0;3,22;6,2;9,57;16,32;7,56;0;13,14;11,27;2,49;0;2,7;9,62;4,1;0;5,21;3;4,57;5,88;4,52;5,74;4,9;3,96;3,47;9,87;12,35;11,08;11,67;6,81;6,09;8,42;2,45;5,14
"elle";6,5;0;5,93;5,58;6,05;6,4;0;4,04;4,91;2,97;3,55;1,86;21,74;0;2,75;7,18;3,71;0;0;3,28;5,63;0;0;2,7;5,49;1,64;4,07;0;6,01;0;0,74;5,43;0,96;0;0;6,94;3,29;0;0;2,06;2,92;1,83;0,73;4,9;0
"trop";0;0;0;0;0;0;0,95;1,62;1,96;0,52;0,35;0;0;0;1,38;0;2,23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,98;0;0;0;0;0;0,97;0,3;0;1,22;0
"la";49,86;36,84;50,8;26,02;35,07;37,13;35,95;31,12;30,42;40,92;38,31;44,69;46,58;45,02;34,44;33,49;24,48;27,71;16,33;22,99;33,8;44,78;23,53;56,68;41,21;41,84;20,33;62,5;60,06;31,96;46,67;41,16;22,96;39,22;35,64;55,56;32,89;29,63;22,16;36,72;27,24;29,53;37,7;39,17;25,71
"défendre";0;0;0;0;0;0;0;0;0;0,17;0;1,86;0;0;0,69;0;0,74;0;0;0;0;0;0;0;0;0;0;0;0;0;0,37;0;1,43;0;3,96;0;0;0;0;1,37;0;0;0;0;0
"expression";0;0;0,85;0;0;0;0;0,4;0,49;0,17;0,35;0,47;0;0;0;0;1,48;0;0;0;2,82;0;0;0;0;0;0;0;0;0;0;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0
"une";14,45;14,04;8,47;7,43;12,09;12,8;10,41;12,53;13,25;16,09;17,03;16,29;12,42;9,65;8,26;35,89;17,8;20,15;4,08;13,14;5,63;4,98;11,76;9,45;23,35;22,97;20,33;15,62;6,01;27,4;10,66;11,76;16,26;17,16;11,88;27,78;9,87;9,88;27,7;16,47;14,59;14,61;12,45;22,03;12,85
"part";0;0;0,85;0;1,21;1,28;0,95;2,02;2,45;0,52;0,35;0,47;0;0;0;0;0,74;0;0;1,64;0;0;0;0;1,37;0;0;0;0;0;0,74;0;0,96;0;0;3,47;3,29;0;0;0;0;0,61;0,37;0;0
"et";28,9;38,6;22,86;9,29;31,44;33,29;25,54;19,81;18,65;21,33;18,45;23,74;27,95;22,51;17,22;31,1;17,8;15,11;4,08;47,62;5,63;29,85;82,35;24,29;30,22;20,51;16,26;62,5;54,05;31,96;31,24;18,09;20,56;22,06;39,6;24,31;29,61;19,75;33,24;28,48;32,1;21,61;30,01;26,93;23,14
"texte";0;0;0,85;0;0;0;0;1,21;1,47;0,52;0,35;0;0;0;0;0;1,48;0;0;0;0;0;0;0;0;0;0;5,21;0;0;0;0;0;0;0;0;0;0;0;0,34;0;0,91;0;0;0
"comme";4,34;1,75;2,54;3,72;1,21;1,28;0,95;3,23;3,43;3,67;4,26;3,72;0;6,43;6,89;4,78;6,68;2,52;0;3,28;14,08;2,49;0;0;6,87;0;0;0;0;0;2,94;3,62;3,35;2,45;0;0;6,58;2,47;0;6,18;2,92;3,04;5,49;3,67;2,57
"ceux";1,45;0;0;0;0;0;0;2,02;1,47;0,7;0,71;0,47;0;0;1,38;0;0,74;2,52;0;0;5,63;0;0;0;2,75;0;0;0;0;0;0,37;0;0;0;1,98;0;3,29;2,47;0;1,72;0;0,3;0,73;0;0
"dans";9,39;10,53;5,93;14,87;16,93;16,65;9,46;12,53;13,25;11,19;9,93;12,57;6,21;16,08;12,4;14,35;10,39;15,11;4,08;1,64;11,27;9,95;23,53;13,5;15,11;28,71;4,07;10,42;18,02;18,26;10,66;9,95;10,04;7,35;15,84;3,47;13,16;14,81;24,93;7,55;13,62;8,83;9,88;20,81;7,71
"un";17,34;15,79;14,39;22,3;30,23;30,73;22,71;12,13;12,27;16,44;16,67;15,36;31,06;25,72;13,77;14,35;17,06;40,3;0;16,42;25,35;24,88;47,06;36,44;28,85;21,33;8,13;10,42;15,02;31,96;15,07;16,73;18,17;12,25;11,88;20,83;16,45;2,47;33,24;17,5;21,4;21,92;20,13;19,58;25,71
"révéler";0;0;0;1,86;0;0;0;0;0;0;0;0,47;0;0;0;0;0,74;0;0;0;0;0;0;1,35;0;0;0;0;0;0;0,37;0;0;0;0;3,47;0;0;0;0,69;1,95;0,3;0;0;2,57
"quoi";0;0;0;0;0;0;0;0;0;0;0;0,47;0;0;0;0;2,23;2,52;0;3,28;0;0;0;0;0;0;0;0;0;0;0,37;0,9;0;0;0;0;0;0;0;1,03;1,95;0,3;0;0;0
"culture";0;0;0;0;0;1,28;0,95;0,81;0,49;0,17;0,35;1,4;0;0;0;0;0,74;0;0;0;0;0;0;0;0;0;0;5,21;0;0;0;0,9;0;0;0;0;0;0;0;0,69;0;0,3;0,37;0;0
"avoir";18,06;45,61;27,94;37,17;31,44;28,17;28,38;18,59;20,61;18,88;18,8;20,95;55,9;19,29;15,84;26,32;23;45,34;28,57;24,63;42,25;59,7;35,29;28,34;10,99;44,3;36,59;15,62;27,03;27,4;25,36;26,68;27,26;39,22;29,7;52,08;0;19,75;22,16;14,07;15,56;18,87;16,84;42,84;46,27
"son";3,61;8,77;6,77;11,15;7,26;7,68;5,68;1,62;1,47;3,67;3,19;5,12;9,32;12,86;2,75;4,78;3,71;10,08;4,08;13,14;8,45;2,49;0;1,35;6,87;4,92;8,13;20,83;6,01;0;5,15;3,62;0,96;22,06;5,94;6,94;3,29;0;2,77;4,8;6,81;3,35;6,95;12,24;2,57
"rester";0;3,51;0;0;0;0;0;1,21;1,47;1,4;1,77;0;0;0;0,69;4,78;6,68;0;0;0;0;7,46;0;0;0;0,82;0;0;0;4,57;1,47;1,81;1,43;0;1,98;0;0;0;0;1,37;0,97;1,22;1,1;1,22;5,14
"s";5,78;5,26;5,93;3,72;0;1,28;5,68;4,85;5,4;9,09;9,22;3,26;6,21;0;7,58;7,18;3,71;2,52;4,08;8,21;5,63;2,49;0;2,7;10,99;3,28;4,07;0;12,01;18,26;6,62;5,88;4,3;12,25;13,86;3,47;6,58;4,94;5,54;4,12;2,92;6,09;5,49;1,22;2,57
"appuyer";1,45;0;0;0;0;0;0;0,81;0,49;1,05;1,42;0;0;0;0;0;0,74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,91;0;0;0;0;0;0;0,69;0;0,61;0;0;0
"sur";10,12;12,28;3,39;5,58;16,93;16,65;10,41;5,66;3,43;5,77;4,61;5,59;0;12,86;6,2;4,78;2,97;2,52;4,08;11,49;19,72;4,98;0;5,4;10,99;18,05;8,13;5,21;0;4,57;8,45;4,98;8,13;2,45;0;6,94;3,29;19,75;16,62;4,12;12,65;8,52;6,95;3,67;2,57
"les";31,07;35,09;16,93;14,87;14,51;12,8;35;25,46;24,53;23,96;22,7;39,11;12,42;16,08;24,1;23,92;9,64;10,08;24,49;22,99;14,08;7,46;35,29;22,94;10,99;22,15;8,13;15,62;24,02;13,7;45,2;20,81;28,22;14,71;37,62;10,42;19,74;34,57;13,85;40,15;26,26;33,49;33,67;23,26;17,99
"écrire";0;0;0;0;1,21;1,28;3,78;2,83;2,94;1,57;1,42;0,93;0;6,43;0;0;2,23;0;0;0;0;0;0;0;0;0;0;0;0;0;1,47;0;0;0;5,94;0;0;0;0;1,37;0;2,44;0;0;5,14
"auteur";0;1,75;0;1,86;1,21;1,28;3,78;1,21;0,49;0,7;0,71;0,93;0;0;0;0;1,48;0;0;0;0;0;0;1,35;0;0;0;0;0;0;0,37;0;0;0;7,92;0;3,29;0;2,77;0,34;0;0,3;1,1;0;0
"américain";0;0;1,69;0;1,21;1,28;3,78;0;0;0,35;0,71;0,93;0;0;0;0;1,48;0;0;0;0;0;0;0;0;1,64;0;0;0;0;0;0;1,91;0;0;6,94;0;0;0;0;1,95;0;0,37;0;0
"sa";2,17;3,51;3,39;20,45;3,63;3,84;2,84;2,83;2,94;4,02;3,19;1,4;21,74;12,86;0,69;7,18;2,97;5,04;12,24;13,14;2,82;0;0;2,7;9,62;0;4,07;15,62;0;0;2,21;0;0;12,25;0;0;0;7,41;0;3,09;1,95;3,04;6,59;7,34;2,57
"propre";0;0;1,69;0;1,21;1,28;0,95;0,4;0,49;0;0;0,47;0;0;0;0;0,74;0;0;0;0;0;0;0;0;0;0;5,21;0;0;1,1;0;0;0;0;0;3,29;0;0;0,34;0;0;1,1;0;0
"femme";0;0;8,47;0;1,21;1,28;0;1,21;0,98;0,52;0,35;0,47;0;6,43;0,69;0;0,74;0;0;0;0;0;0;1,35;0;0,82;0;5,21;0;0;1,1;0;0;0;1,98;0;0;0;0;1,37;0;0;0;0;0
"arabe";1,45;0;0;0;0;0;0;2,02;2,45;0;0;0;0;0;0;0;2,23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0
"musulman";1,45;0;0;0;0;0;0;2,43;2,94;0;0;0;0;0;0;0;4,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"décrire";0;0;0;0;0;0;0;0,81;0,98;0,52;0,35;0,47;0;0;0;0;1,48;0;0;1,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,98;0;0;0;0;1,37;0;0;0,37;0;0
"avec";3,61;1,75;3,39;5,58;7,26;6,4;11,35;4,85;3,43;4,02;3,19;3,26;0;3,22;4,82;2,39;5,93;5,04;0;8,21;0;0;0;5,4;2,75;0,82;0;10,42;6,01;18,26;5,15;4,98;7,17;4,9;3,96;3,47;0;0;11,08;2,75;4,86;3,96;5,86;11,02;7,71
"figure";1,45;0;0;0;0;0;0;0;0;0,35;0,35;0,93;0;0;0;0;2,23;0;0;0;0;0;0;0;1,37;0;0;5,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,37;0;0
"du";25,29;24,56;13,55;3,72;14,51;16,65;6,62;5,25;4,42;15,39;15,25;14,43;6,21;16,08;12,4;11,96;9,64;35,26;12,24;1,64;5,63;17,41;23,53;28,34;20,6;9,84;12,2;5,21;6,01;4,57;12,86;19,9;21,04;7,35;9,9;17,36;6,58;14,81;8,31;6,86;23,35;15,83;10,98;12,24;10,28
"qui";13,01;3,51;5,08;7,43;13,3;14,08;10,41;20,21;21,1;8,74;9,93;13,04;12,42;22,51;13,09;2,39;15,58;15,11;12,24;9,85;11,27;7,46;0;2,7;10,99;3,28;0;5,21;6,01;31,96;12,13;11,31;17,22;9,8;15,84;3,47;23,03;22,22;5,54;16,13;14,59;10,65;10,98;1,22;20,57
"à";23,84;22,81;29,64;40,89;26,6;26,89;18,92;20,21;22,08;22,21;24,48;29,33;31,06;35,37;24,79;33,49;19,29;10,08;12,24;22,99;36,62;27,36;0;37,79;28,85;13,95;28,46;36,46;33,03;27,4;27,56;22,16;22;9,8;19,8;24,31;29,61;19,75;47,09;25,05;33,07;21;25,26;31,82;23,14
"être";26,01;19,3;37,26;27,88;30,23;30,73;43,52;34,76;38,76;29,9;30,86;35,85;65,22;35,37;31,68;26,32;61,57;22,67;12,24;36,12;42,25;19,9;35,29;28,34;19,23;27,07;4,07;31,25;33,03;31,96;29,4;35,28;52,13;22,06;35,64;13,89;32,89;49,38;19,39;29,86;20,43;24,35;32,58;33,05;41,13
"plutôt";0;0;0;0;0;0;0,95;0,4;0;1,57;1,77;0;0;0;1,38;0;1,48;0;0;0;0;0;0;0;0;0;0;0;0;0;1,1;0,9;0;0;0;0;0;0;0;0,34;0,97;0;0;0;0
