"";"X.date_2020.06.26";"X.date_2020.07.13";"X.date_2020.12.16";"X.date_2021.01.23";"X.date_2021.03.23";"X.date_2021.03.24";"X.date_2021.04.04";"X.date_2021.05.20";"X.date_2021.05.21";"X.date_2021.08.21";"X.date_2021.08.23";"X.date_2021.10.19";"X.date_2021.10.21";"X.date_2021.12.03";"X.date_2022.04.20";"X.date_2022.05.09";"X.date_2022.06.16";"X.date_2022.06.23";"X.date_2022.06.25";"X.date_2022.09.19";"X.date_2022.10.25";"X.date_2023.01.15";"X.date_2023.02.05";"X.date_2023.04.05";"X.date_2023.05.22";"X.date_2023.08.10";"X.date_2023.10.27";"X.date_2023.11.29";"X.date_2023.12.19";"X.date_2024.01.28";"X.date_2024.02.10";"X.date_2024.02.17";"X.date_2024.09.26";"X.date_2024.11.12";"X.date_2025.03.21";"X.date_2025.04.15";"X.date_2025.04.27";"X.date_2025.06.03";"X.date_2025.06.19";"X.date_2025.06.29";"X.date_2025.07.07";"X.date_2025.08.06";"X.date_2025.08.07";"X.date_2025.09.12";"X.date_2026.03.11"
"nom";214,65;260,55;222,72;234,1;252,44;252,81;216,89;194,56;186,36;215,75;207,16;191,98;206,02;215,48;203,5;196,64;168,06;241,38;131,41;178,88;162,79;225,05;236,36;315,18;230,04;228,13;149;185,87;215,52;176,47;199,89;211,4;203,59;194,29;222,87;227,75;211,44;217,39;241,7;204,67;202,41;215,08;224,54;228,62;205,43
"art_def";134,85;119,11;112,33;71,25;104,52;106,74;119,54;118,8;116,05;123,5;120,49;129,71;85,65;106,69;113,41;84,03;71,77;111,11;70,51;83,23;97,25;101,63;118,18;114,14;98,86;121,19;60,17;107,81;109,91;79,41;137,06;133,28;111,15;91,43;121,56;117,8;119,4;124,76;84,87;107,9;114,61;117,72;115,47;95,11;100,78
"adj";68,18;48,39;60,04;12,72;65,54;68,35;45,81;57,16;57,18;56,91;63,46;68,14;37,04;66,95;79,49;48,74;53,83;57,47;41,67;57,14;40,17;63,52;63,64;40,84;81,75;76,47;57,31;78,07;49,57;47,06;46,98;73,68;58,5;41,9;68,02;70,68;74,63;30,25;62,73;60,71;64,34;68,46;70,67;59,34;48,45
"pre";143,94;158,81;171,72;133,59;131,98;131,09;123,84;123,97;122,83;154,07;150,96;134,56;113,43;135,98;138,31;168,07;111,84;120,69;105,77;124,22;139,53;159,71;145,45;169,63;164,45;156,84;94,56;137,55;140,09;111,76;158,74;143,28;132,22;137,14;130,25;146,6;154,23;128,54;160,52;129,64;160,19;140,15;155,26;165,79;127,91
"pro_per";33,33;26,05;34,86;43,26;39,86;38,39;50,11;66,46;71,58;40,53;41,1;55,34;60,19;31,38;50,34;72,27;101,08;49,81;9,62;80,75;52,85;14,52;27,27;13,61;28,52;20,09;8,6;48,33;71,12;44,12;42,54;39,61;45,24;66,67;47,76;13,09;44,78;51,04;44,28;49,05;21,45;47,41;37,84;41,01;38,76
"art_ind";37,37;28,54;32,92;33,08;45,17;46,82;39,37;32,02;31,34;42,85;42,49;34,24;37,04;31,38;37,63;42,02;38,88;68,97;3,21;29,81;25,37;32,67;45,45;49,21;44,68;55,09;22,92;22,3;30,17;41,18;35,59;41,1;51,48;32,38;31,84;62,83;29,85;24,57;51,66;40,3;35,52;44,63;44,24;48,87;46,51
"con";36,36;32,26;30,99;25,45;42,52;43,07;38,65;48,9;50,83;37,94;38,02;40,82;34,72;41,84;46,1;43,7;51,44;24,9;9,62;73,29;40,17;27,22;81,82;23,04;42,78;25,28;17,19;78,07;45,26;29,41;37,53;35,54;42,12;34,29;50,65;23,56;52,24;47,26;40,59;48,52;38,2;37,93;42,85;36,65;36,82
"adv_sup";35,86;19,85;27,11;34,35;24,8;23,41;42,95;46,49;47,44;43,8;41,38;44,97;53,24;46,03;47,16;43,7;52,63;40,23;22,44;52,17;40,17;27,22;27,27;13,61;31,37;18,15;11,46;22,3;45,26;29,41;26,69;46,28;49,92;38,1;17,37;23,56;49,75;43,48;27,68;37,12;39,54;40,24;33,67;43,63;32,95
"nr";79,29;78,16;72,95;123,41;83,26;79,59;32,93;42,01;40,66;58,68;57,03;53,96;39,35;92,05;52,46;52,1;40,07;26,82;128,21;29,81;118,39;96,19;72,73;62,83;84,6;82,31;146,13;100,37;62,5;144,12;73,39;42,95;55,77;53,33;65,12;83,77;19,9;60,49;55,35;54,08;103,22;51,34;47,3;54,1;60,08
"ver";88,89;83,13;77,47;104,33;82,37;85,21;96,64;88,5;84,29;89,66;88,34;88,9;108,8;83,68;85,85;127,73;95,69;91,95;73,72;103,11;95,14;96,19;45,45;68,06;80,8;77,77;65,9;81,78;96,98;85,29;106,48;77,38;74,88;74,29;85,38;104,71;92,04;83,18;101,48;97,83;87,8;96,44;87,65;81,15;110,47
"pro_dem";6,06;4,96;9,04;13,99;7,09;8,43;20,76;18,25;20,33;9,01;10,34;14,18;13,89;12,55;13,78;5,04;34,09;22,99;9,62;11,18;25,37;1,81;0;14,66;11,41;1,94;0;11,15;6,47;5,88;6,39;11,11;22,23;13,33;8,68;2,62;22,39;24,57;9,23;22,8;10,05;12,49;7,23;6,11;11,63
"pro_rel";17,68;3,72;9,68;11,45;15,06;14,98;15,03;35,12;36,43;18,29;19,85;22,83;27,78;31,38;23,85;10,08;32,3;19,16;9,62;29,81;16,91;16,33;18,18;6,28;18,06;9,07;0;7,43;12,93;29,41;17,24;23,32;26,13;20,95;17,37;18,32;32,34;28,36;11,07;29,43;24,13;21,97;15,58;8,73;29,07
"aux";30,81;45,91;49,71;44,53;45,17;43,07;54,4;45,45;51,25;38,07;39,14;42,2;90,28;35,56;36,57;36,97;68,18;51,72;32,05;45,96;63,42;58,08;54,55;43,98;20,91;56,38;28,65;33,46;43,1;38,24;41,42;50,72;64,74;47,62;47,76;49,74;24,88;52,93;27,68;33,93;24,8;32,84;37,56;54,1;65,89
"adj_pos";10,1;12,41;8,39;24,17;13,29;12,17;14,32;11,02;11,44;11,05;10,34;10,72;27,78;23,01;8,48;13,45;14,35;11,49;12,82;29,81;14,8;5,44;0;7,33;15,21;6,48;8,6;29,74;17,24;2,94;14,18;8,89;1,95;36,19;5,79;5,24;14,93;9,45;18,45;15,11;9,38;9,02;16,69;24,43;15,5
"adv";6,06;14,89;6,46;7,63;0,89;1,87;10,02;8,26;8,47;10,1;10,62;10,03;11,57;6,28;9,01;5,04;6,58;19,16;6,41;9,94;10,57;10,89;9,09;0;5,7;10,37;0;18,59;15,09;11,76;6,67;10;10,92;11,43;8,68;2,62;4,98;7,56;3,69;9,81;10,05;7,63;7,23;2,62;11,63
"ver_sup";15,15;17,37;13,56;21,63;11,51;10,3;12,88;17,91;20,33;10,78;14,54;15,22;11,57;12,55;10,07;11,76;30,5;15,33;9,62;18,63;21,14;3,63;0;3,14;8,56;9,72;2,87;3,72;12,93;14,71;7,78;13,7;15,6;22,86;13,02;7,85;7,46;17,01;9,23;15,64;12,06;11,56;8,07;10,47;7,75
"adj_ind";2,02;0;7,1;1,27;7,97;7,49;19,33;6,2;5,51;5,73;6,43;5,19;6,94;8,37;4,24;5,04;4,78;3,83;0;7,45;2,11;3,63;0;2,09;5,7;2,59;2,87;3,72;2,16;0;6,67;2,96;2,73;0;0;0;0;3,78;7,38;3,18;4,69;4,86;7,79;3,49;3,88
"adj_dem";4,55;8,68;2,58;3,82;4,43;4,68;5,73;5,85;5,51;5,19;6,99;6,23;4,63;4,18;7,42;1,68;5,98;3,83;0;9,94;4,23;3,63;0;0;0,95;3,24;0;0;2,16;5,88;1,11;5,92;11,7;1,9;5,79;10,47;4,98;7,56;1,85;7,42;4,69;6,24;6,68;0;0
"pro_ind";8,08;4,96;7,75;0;2,66;1,87;7,16;11,02;12,28;6,82;7,83;13,14;4,63;0;9,54;5,04;10,77;3,83;12,82;12,42;10,57;1,81;9,09;5,24;8,56;6,48;2,87;0;4,31;5,88;10,56;14,81;8,58;17,14;5,79;10,47;12,44;18,9;7,38;9,81;6,03;9,48;8,63;4,36;9,69
"nom_sup";3,03;6,2;6,46;8,91;3,54;2,81;7,16;6,2;7,2;3,82;4,19;2,42;6,94;8,37;4,77;8,4;1,2;5,75;16,03;0;14,8;9,07;0;5,24;2,85;2,59;8,6;3,72;4,31;8,82;3,06;2,22;3,12;13,33;11,58;2,62;0;3,78;5,54;3,98;2,68;3,01;1,95;4,36;7,75
"ono";1,52;3,72;0;0;3,54;3,75;4,29;1,72;2,12;1,09;1,12;2,08;4,63;0;4,24;11,76;2,99;1,92;9,62;3,73;0;0;0;0;1,9;1,3;11,46;3,72;6,47;0;1,39;2,22;1,56;3,81;1,45;0;0;3,78;1,85;2,12;3,35;3,24;1,95;0,87;7,75
