variable	occurences	formes	hapax	segments	hapax/formes
*date_2020-06-26	1980	884	270	56	0.3054298642533937
*date_2020-07-13	806	378	69	23	0.18253968253968253
*date_2020-12-16	1549	626	135	43	0.21565495207667731
*date_2021-01-23	786	321	50	21	0.1557632398753894
*date_2021-03-23	1129	528	14	31	0.026515151515151516
*date_2021-03-24	1068	530	10	31	0.018867924528301886
*date_2021-04-04	1397	607	164	40	0.2701812191103789
*date_2021-05-20	5808	961	0	168	0.0
*date_2021-05-21	2361	806	4	67	0.004962779156327543
*date_2021-08-21	7328	2264	398	202	0.17579505300353357
*date_2021-08-23	3577	1293	3	99	0.002320185614849188
*date_2021-10-19	2891	1127	320	80	0.2839396628216504
*date_2021-10-21	432	217	38	12	0.17511520737327188
*date_2021-12-03	478	284	105	15	0.36971830985915494
*date_2022-04-20	1887	762	164	50	0.2152230971128609
*date_2022-05-09	595	309	51	17	0.1650485436893204
*date_2022-06-16	1672	616	143	46	0.23214285714285715
*date_2022-06-23	522	260	47	15	0.18076923076923077
*date_2022-06-25	312	130	26	10	0.2
*date_2022-09-19	805	371	94	23	0.25336927223719674
*date_2022-10-25	473	221	35	12	0.1583710407239819
*date_2023-01-15	551	284	48	15	0.16901408450704225
*date_2023-02-05	110	72	10	3	0.1388888888888889
*date_2023-04-05	955	316	63	26	0.19936708860759494
*date_2023-05-22	1052	500	163	28	0.326
*date_2023-08-10	1543	463	76	42	0.16414686825053995
*date_2023-10-27	349	151	35	11	0.23178807947019867
*date_2023-11-29	269	175	48	8	0.2742857142857143
*date_2023-12-19	464	243	53	13	0.21810699588477367
*date_2024-01-28	340	205	50	9	0.24390243902439024
*date_2024-02-10	3597	1219	353	101	0.2895816242821985
*date_2024-02-17	2701	553	2	75	0.003616636528028933
*date_2024-09-26	2564	761	180	68	0.23653088042049936
*date_2024-11-12	525	260	52	15	0.2
*date_2025-03-21	691	342	77	18	0.22514619883040934
*date_2025-04-15	382	212	42	10	0.19811320754716982
*date_2025-04-27	402	219	47	11	0.2146118721461187
*date_2025-06-03	529	268	45	14	0.16791044776119404
*date_2025-06-19	542	297	80	15	0.26936026936026936
*date_2025-06-29	3772	1292	383	104	0.2964396284829721
*date_2025-07-07	1492	654	181	40	0.27675840978593275
*date_2025-08-06	4324	1631	474	124	0.29061925199264255
*date_2025-08-07	3594	1361	360	104	0.26451138868479057
*date_2025-09-12	1146	488	131	32	0.26844262295081966
*date_2026-03-11	516	276	44	15	0.15942028985507245
