"";"*date_2020-06-26";"*date_2020-07-13";"*date_2020-12-16";"*date_2021-01-23";"*date_2021-03-23";"*date_2021-03-24";"*date_2021-04-04";"*date_2021-05-20";"*date_2021-05-21";"*date_2021-08-21";"*date_2021-08-23";"*date_2021-10-19";"*date_2021-10-21";"*date_2021-12-03";"*date_2022-04-20";"*date_2022-05-09";"*date_2022-06-16";"*date_2022-06-23";"*date_2022-06-25";"*date_2022-09-19";"*date_2022-10-25";"*date_2023-01-15";"*date_2023-02-05";"*date_2023-04-05";"*date_2023-05-22";"*date_2023-08-10";"*date_2023-10-27";"*date_2023-11-29";"*date_2023-12-19";"*date_2024-01-28";"*date_2024-02-10";"*date_2024-02-17";"*date_2024-09-26";"*date_2024-11-12";"*date_2025-03-21";"*date_2025-04-15";"*date_2025-04-27";"*date_2025-06-03";"*date_2025-06-19";"*date_2025-06-29";"*date_2025-07-07";"*date_2025-08-06";"*date_2025-08-07";"*date_2025-09-12";"*date_2026-03-11"
"livre";1;0;0;0;0;0;7;12;6;2;1;0;0;1;2;0;5;0;0;0;0;1;1;0;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;2;0;0
"le";47;22;27;19;34;31;34;116;49;168;73;69;5;6;36;6;23;15;1;20;11;12;4;12;25;29;3;4;5;7;70;72;59;7;16;6;9;21;13;47;61;84;69;18;16
"barbare";8;3;7;3;7;6;5;16;7;31;19;9;4;3;8;0;18;5;3;6;5;4;6;19;6;7;6;4;4;4;12;11;4;4;4;3;5;12;3;19;6;28;7;3;4
"l";53;15;32;9;18;18;40;240;91;214;115;73;4;18;54;11;31;9;8;14;11;14;2;10;17;47;7;7;13;7;109;89;47;9;17;11;17;8;13;83;23;122;94;22;13
"en";32;7;29;4;16;15;21;70;29;122;54;25;6;8;28;16;24;7;7;11;6;11;0;8;21;16;5;1;2;2;84;58;32;14;11;5;8;5;7;49;25;80;53;17;6
"nous";2;1;3;1;1;1;3;34;17;6;2;3;2;3;9;1;23;3;0;1;1;0;0;0;2;0;0;2;2;2;1;14;1;2;0;0;1;1;10;18;1;1;3;13;0
"face";2;1;0;0;1;1;0;18;6;2;1;1;0;0;2;0;2;0;1;0;0;0;0;0;0;1;2;0;0;0;7;2;0;0;1;0;0;1;0;9;0;1;2;0;1
"aux";10;1;4;0;2;2;1;2;1;13;3;9;2;0;6;1;1;1;0;0;0;0;0;2;5;1;0;1;1;0;12;8;8;3;0;1;2;1;0;11;3;8;11;5;0
"récit";0;0;0;0;0;0;0;2;1;3;1;0;0;0;1;0;5;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;6;2;0;0
"d";35;11;38;11;12;12;16;72;28;154;78;39;6;5;22;18;25;8;3;12;6;14;3;41;20;12;4;4;3;3;56;39;43;2;6;6;7;3;8;58;16;75;66;31;11
"des";30;6;24;10;16;16;20;64;22;128;57;31;2;4;39;4;18;12;0;6;1;6;0;13;9;31;1;1;7;1;58;48;60;5;10;10;4;8;6;53;16;73;70;22;9
"français";3;0;2;0;0;0;5;0;0;4;3;1;0;1;1;1;1;0;0;0;1;2;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;3;1;1;0
"de";97;60;88;36;48;44;44;230;90;396;195;122;15;24;86;22;65;19;9;31;22;23;8;45;57;91;9;14;27;10;162;124;111;34;36;21;22;23;23;150;85;204;205;49;17
"immigration";0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"qu";7;1;4;4;7;6;11;54;25;39;22;23;0;1;9;4;22;3;0;8;4;1;0;2;7;5;0;1;1;1;16;10;12;2;2;1;3;5;4;34;7;20;23;2;2
"elle";9;0;7;3;5;5;0;20;10;17;10;4;7;0;4;3;5;0;0;2;2;0;0;2;4;2;1;0;2;0;2;12;2;0;0;2;1;0;0;6;3;6;2;4;0
"trop";0;0;0;0;0;0;1;8;4;3;1;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0
"la";69;21;60;14;29;29;38;154;62;234;108;96;15;14;50;14;33;11;4;14;12;18;2;42;30;51;5;12;20;7;127;91;48;16;18;16;10;12;8;107;28;97;103;32;10
"défendre";0;0;0;0;0;0;0;0;0;1;0;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;2;0;0;0;0;4;0;0;0;0;0
"expression";0;0;1;0;0;0;0;2;1;1;1;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"une";20;8;10;4;10;10;11;62;27;92;48;35;4;3;12;15;24;8;1;8;2;2;1;7;17;28;5;3;2;6;29;26;34;7;6;8;3;4;10;48;15;48;34;18;5
"part";0;0;1;0;1;1;1;10;5;3;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;2;0;0;1;1;0;0;0;0;2;1;0;0
"et";40;22;27;5;26;26;27;98;38;122;52;51;9;7;25;13;24;6;1;29;2;12;7;18;22;25;4;12;18;7;85;40;43;9;20;7;9;8;12;83;33;71;82;22;9
"texte";0;0;1;0;0;0;0;6;3;3;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0
"comme";6;1;3;2;1;1;1;16;7;21;12;8;0;2;10;2;9;1;0;2;5;1;0;0;5;0;0;0;0;0;8;8;7;1;0;0;2;1;0;18;3;10;15;3;1
"ceux";2;0;0;0;0;0;0;10;3;4;2;1;0;0;2;0;1;1;0;0;2;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;1;1;0;5;0;1;2;0;0
"dans";13;6;7;8;14;13;10;62;27;64;28;27;2;5;18;6;14;6;1;1;4;4;2;10;11;35;1;2;6;4;29;22;21;3;8;1;4;6;9;22;14;29;27;17;3
"un";24;9;17;12;25;24;24;60;25;94;47;33;10;8;20;6;23;16;0;10;9;10;4;27;21;26;2;2;5;7;41;37;38;5;6;6;5;1;12;51;22;72;55;16;10
"révéler";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;2;1;0;0;1
"quoi";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;3;2;1;0;0;0
"culture";0;0;0;0;0;1;1;4;1;1;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;2;0;1;1;0;0
"avoir";25;26;33;20;26;22;30;92;42;108;53;45;18;6;23;11;31;18;7;15;15;24;3;21;8;54;9;3;9;6;69;59;57;16;15;15;0;8;8;41;16;62;46;35;18
"son";5;5;8;6;6;6;6;8;3;21;9;11;3;4;4;2;5;4;1;8;3;1;0;1;5;6;2;4;2;0;14;8;2;9;3;2;1;0;1;14;7;11;19;10;1
"rester";0;2;0;0;0;0;0;6;3;8;5;0;0;0;1;2;9;0;0;0;0;3;0;0;0;1;0;0;0;1;4;4;3;0;1;0;0;0;0;4;1;4;3;1;2
"s";8;3;7;2;0;1;6;24;11;52;26;7;2;0;11;3;5;1;1;5;2;1;0;2;8;4;1;0;4;4;18;13;9;5;7;1;2;2;2;12;3;20;15;1;1
"appuyer";2;0;0;0;0;0;0;4;1;6;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0
"sur";14;7;4;3;14;13;11;28;7;33;13;12;0;4;9;2;4;1;1;7;7;2;0;4;8;22;2;1;0;1;23;11;17;1;0;2;1;8;6;12;13;28;19;3;1
"les";43;20;20;8;12;10;37;126;50;137;64;84;4;5;35;10;13;4;6;14;5;3;3;17;8;27;2;3;8;3;123;46;59;6;19;3;6;14;5;117;27;110;92;19;7
"écrire";0;0;0;0;1;1;4;14;6;9;4;2;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;0;0;0;0;4;0;8;0;0;2
"auteur";0;1;0;1;1;1;4;6;1;4;2;2;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;4;0;1;0;1;1;0;1;3;0;0
