"";"X.date_2020.06.26";"X.date_2020.07.13";"X.date_2020.12.16";"X.date_2021.01.23";"X.date_2021.03.23";"X.date_2021.03.24";"X.date_2021.04.04";"X.date_2021.05.20";"X.date_2021.05.21";"X.date_2021.08.21";"X.date_2021.08.23";"X.date_2021.10.19";"X.date_2021.10.21";"X.date_2021.12.03";"X.date_2022.04.20";"X.date_2022.05.09";"X.date_2022.06.16";"X.date_2022.06.23";"X.date_2022.06.25";"X.date_2022.09.19";"X.date_2022.10.25";"X.date_2023.01.15";"X.date_2023.02.05";"X.date_2023.04.05";"X.date_2023.05.22";"X.date_2023.08.10";"X.date_2023.10.27";"X.date_2023.11.29";"X.date_2023.12.19";"X.date_2024.01.28";"X.date_2024.02.10";"X.date_2024.02.17";"X.date_2024.09.26";"X.date_2024.11.12";"X.date_2025.03.21";"X.date_2025.04.15";"X.date_2025.04.27";"X.date_2025.06.03";"X.date_2025.06.19";"X.date_2025.06.29";"X.date_2025.07.07";"X.date_2025.08.06";"X.date_2025.08.07";"X.date_2025.09.12";"X.date_2026.03.11"
"livre";-0,1987;-0,2301;-0,4796;-0,2172;-0,3347;-0,316;4,2905;2,8207;1,9608;-1,0462;-0,5886;-0,8803;-0,1297;0,6011;0,4092;-0,1685;2,0972;-0,16;-0,0986;-0,246;-0,143;0,5066;1,1212;-0,2997;0,3078;-0,4952;-0,099;-0,0773;-0,1342;-0,0881;-1,1213;2,3932;-0,8565;-0,1645;-0,2038;-0,116;-0,1224;-0,1633;-0,1455;-1,2031;-0,4169;-0,7342;-0,2726;-0,3306;-0,1568
"le";1,1034;1,1572;-0,7138;0,8017;1,8705;1,5701;0,7199;-1,4065;-0,7146;0,7583;-0,4735;1,0102;-0,9097;-0,6019;-0,5172;-1,2298;-2,0791;0,8769;-2,0615;0,6306;0,4187;0,3752;0,69;-1,5006;0,8286;-0,6018;-1,0314;-0,4052;-0,9798;0,4055;-0,4955;1,1249;0,3719;-0,8926;0,5066;-0,4899;0,3437;2,3608;0,7118;-4,5639;7,6571;-0,5569;-0,5766;-0,6898;1,145
"barbare";-0,3642;-0,3208;-0,3213;-0,2818;0,5102;0,383;-0,5259;-3,2355;-1,4139;-0,8682;0,3003;-1,0258;0,7793;0,4695;-0,4259;-1,2102;2,3745;0,9027;0,6543;0,661;1,0539;0,558;4,6439;6,1482;0,4536;-0,3552;2,2073;1,4046;0,7437;1,2331;-1,0704;-0,6907;-2,7654;0,5444;0,3669;0,5261;1,2788;4,7002;0,3684;-0,2727;-0,3208;0,9851;-2,6531;-0,6792;0,5887
"l";0,5997;-0,7929;-1,088;-2,0311;-1,7025;-1,4127;0,5065;7,1144;2,031;0,8889;1,3724;-0,3436;-1,9198;1,5998;0,4919;-0,6718;-2,1139;-0,9412;-0,2838;-1,2013;-0,3756;0,2725;-0,3667;-3,5417;-1,3002;0,5999;-0,4251;0,2993;0,4275;-0,2948;1,1621;1,071;-3,2178;-1,0151;-0,2918;0,3793;1,4189;-1,2501;0,3126;-1,5237;-1,863;0,6347;-0,311;-0,8976;-0,2876
"en";0,7251;-0,8839;0,8989;-1,7077;-0,2598;-0,2669;0,301;-2,7776;-1,3843;0,7896;-0,323;-2,5799;-0,2527;0,5766;-0,2829;2,0498;-0,4355;-0,3136;0,6874;-0,3266;-0,3398;0,7767;-0,7291;-1,335;1,2865;-1,2479;0,2783;-0,9636;-1,3873;-0,7066;4,5346;1,8152;-1,0686;1,5029;0,3977;-0,296;0,609;-0,7089;-0,2288;-0,8167;0,803;1,5843;-0,2885;0,366;-0,4419
"nous";-0,8838;-0,3972;-0,4;-0,3644;-0,6808;-0,6278;-0,3137;3,8902;3,0126;-3,9179;-2,6231;-1,2817;0,5021;1,0071;1,1331;-0,248;9,2367;0,7795;-0,3772;-0,4381;-0,1918;-0,6199;-0,1307;-1,1462;-0,2802;-1,8941;-0,3788;0,8304;0,4829;0,7415;-3,2416;1,5882;-2,3362;0,3737;-0,7794;-0,4436;-0,1496;-0,2361;6,1276;1,8114;-0,9211;-4,0796;-1,9327;5,1037;-0,5998
"face";0,3027;0,3028;-0,6235;-0,2823;0,1987;0,2135;-0,5574;4,8427;1,4494;-1,5785;-0,8511;-0,5774;-0,1686;-0,1629;0,2809;-0,2191;0,3151;-0,2081;0,5923;-0,3198;-0,186;-0,2107;-0,0444;-0,3896;-0,3827;-0,2458;1,4495;-0,1004;-0,1744;-0,1146;1,3528;-0,3004;-1,1136;-0,2139;0,3404;-0,1508;-0,1592;0,4127;-0,1891;2,1037;-0,542;-1,0531;-0,4486;-0,4299;0,4264
"aux";2,4321;-0,2534;0,4254;-0,6173;-0,2006;-0,1785;-0,6346;-3,8547;-1,5537;-0,4549;-1,2353;0,9462;0,6833;-0,3561;0,7363;-0,155;-0,892;-0,1426;-0,2803;-0,6992;-0,4066;-0,4606;-0,0971;0,2357;1,3604;-0,7758;-0,2815;0,4014;0,2333;-0,2505;1,2595;0,646;0,7323;1,032;-0,5792;0,2742;0,7208;-0,1473;-0,4135;0,8394;0,2942;-0,2981;0,9776;1,1874;-0,4457
"récit";-0,3153;-0,1289;-0,2685;-0,1216;-0,1874;-0,1769;-0,24;-0,2829;-0,1456;0,2365;-0,2461;-0,4929;-0,0726;-0,0701;0,273;-0,0944;3,2353;-0,0896;-0,0552;-0,1377;-0,0801;-0,0907;-0,0191;-0,1678;1,2651;-0,2772;-0,0554;-0,0433;-0,0751;-0,0493;0,3822;-0,5076;-0,4795;-0,0921;-0,1141;-0,0649;-0,0686;-0,0914;-0,0814;0,722;-0,2334;2,2286;0,3801;-0,1851;-0,0878
"d";0,8004;-0,3412;2,1204;-0,2709;-0,9625;-0,8011;-0,9993;-3,5918;-2,085;2,9943;2,0135;-0,73;-0,3201;-0,448;-1,2191;2,4175;-0,5348;-0,2687;-0,6235;-0,3212;-0,4248;1,3153;0,573;7,4673;0,8461;-2,7552;-0,393;-0,2088;-1,1114;-0,4968;-0,3409;-0,8603;-0,3287;-2,1048;-1,0447;-0,2268;0,3359;-1,5608;0,306;-0,4555;-0,9051;0,5911;0,8441;2,8338;0,6923
