"";"X.date_2020.06.26";"X.date_2020.07.13";"X.date_2020.12.16";"X.date_2021.01.23";"X.date_2021.03.23";"X.date_2021.03.24";"X.date_2021.04.04";"X.date_2021.05.20";"X.date_2021.05.21";"X.date_2021.08.21";"X.date_2021.08.23";"X.date_2021.10.19";"X.date_2021.10.21";"X.date_2021.12.03";"X.date_2022.04.20";"X.date_2022.05.09";"X.date_2022.06.16";"X.date_2022.06.23";"X.date_2022.06.25";"X.date_2022.09.19";"X.date_2022.10.25";"X.date_2023.01.15";"X.date_2023.02.05";"X.date_2023.04.05";"X.date_2023.05.22";"X.date_2023.08.10";"X.date_2023.10.27";"X.date_2023.11.29";"X.date_2023.12.19";"X.date_2024.01.28";"X.date_2024.02.10";"X.date_2024.02.17";"X.date_2024.09.26";"X.date_2024.11.12";"X.date_2025.03.21";"X.date_2025.04.15";"X.date_2025.04.27";"X.date_2025.06.03";"X.date_2025.06.19";"X.date_2025.06.29";"X.date_2025.07.07";"X.date_2025.08.06";"X.date_2025.08.07";"X.date_2025.09.12";"X.date_2026.03.11"
"nom";0,4703;3,4236;0,898;1,2299;3,4173;3,3137;0,5345;-3,0907;-2,8099;0,8748;-0,5133;-2,2275;-0,3631;0,3812;-0,641;-0,6674;-5,2709;1,3111;-3,7016;-1,873;-2,2938;0,6634;0,541;13,6957;1,1796;1,3136;-2,6808;-0,7492;0,3801;-1,1756;-1,2726;0,3279;-0,7165;-0,7151;0,643;0,6522;0,297;0,4336;1,3574;-0,7404;-0,6482;0,6253;1,7063;1,1406;-0,3879
"art_def";2,5219;0,4363;-0,4006;-4,5484;-0,8315;-0,6623;0,5237;0,7837;0,3632;2,1197;0,8448;2,2091;-1,5252;-0,497;-0,3554;-2,0632;-8,7164;-0,368;-2,2061;-2,6989;-0,8924;-0,7375;0,3011;-0,3016;-1,2665;0,6502;-3,4223;-0,3932;-0,3929;-1,6851;4,8225;2,8485;-0,538;-1,3052;0,5163;0,3461;0,3884;0,5955;-1,8526;-1,0503;-0,2917;0,5609;0,3399;-1,7513;-0,7555
"adj";1,0953;-1,0873;-0,3013;-10,8157;0,5998;0,8168;-2,0128;-0,8481;-0,577;-1,0346;0,6403;1,3611;-1,6935;0,5216;3,3719;-0,8856;-0,8693;-0,3637;-1,0172;-0,4192;-1,4749;0,3915;0,3009;-2,3479;2,5122;2,252;-0,338;0,8552;-0,7252;-0,7484;-3,73;2,6245;-0,4493;-1,4046;0,6551;0,6435;0,8584;-2,9827;0,3594;0,3156;0,5577;1,8715;2,2711;-0,3297;-0,8402
"pre";0,3906;1,0318;3,2901;-0,5694;-0,7481;-0,7849;-1,5847;-4,7572;-2,4831;3,0186;1,2259;-0,8907;-1,3179;-0,4149;-0,4697;1,3968;-3,8555;-1,0489;-1,4431;-1,0996;-0,325;0,8932;0,3019;2,0582;1,6786;1,3032;-2,3;-0,3362;-0,3119;-1,2148;2,7375;0,3699;-1,1025;-0,3915;-0,6888;0,3784;0,5874;-0,6844;0,9235;-1,8767;1,6248;-0,4255;1,9766;1,9171;-0,7029
"pro_per";-2,6379;-2,6615;-1,8163;-0,4143;-0,7711;-0,9144;0,5845;12,6197;7,7797;-2,1658;-1,1551;1,9518;0,9783;-1,1635;0,6806;2,5369;20,6035;0,4238;-3,5781;4,9057;0,5615;-4,4166;-0,6087;-7,7416;-2,6576;-7,5658;-4,2051;0,3231;1,9876;-0,3074;-0,8305;-1,304;-0,3696;1,6858;0,3472;-3,4899;-0,2959;0,4859;-0,3314;0,6787;-6,5897;0,4399;-2,1815;-0,6566;-0,6112
"art_ind";-0,4917;-1,2465;-1,0348;-0,7069;0,724;0,8818;-0,2907;-3,1157;-1,7611;1,1173;0,7012;-1,1731;-0,3452;-0,676;-0,4574;0,3836;-0,3327;2,9623;-4,3537;-1,0751;-1,2047;-0,6285;0,3531;1,1039;0,6549;2,7707;-1,2033;-1,0544;-0,7539;0,317;-0,9794;0,4387;2,8112;-0,6347;-0,7746;1,7184;-0,7205;-1,3977;1,0169;0,3635;-0,6481;1,319;1,08;1,1781;0,6182
"con";-0,7428;-0,8872;-1,5726;-1,8415;0,4053;0,4407;-0,4129;3,1971;2,1239;-0,9393;-0,6499;0,3083;-0,4969;0,3205;0,9098;0,4208;1,7938;-1,44;-2,9434;4,9062;-0,2669;-1,2087;1,451;-2,7027;0,4179;-3,1779;-1,945;2,4549;0,4722;-0,7388;-0,746;-1,0326;0,4421;-0,5651;0,9632;-1,2937;0,8367;0,6079;-0,2556;2,1205;-0,4603;-0,7243;0,5938;-0,56;-0,416
"adv_sup";-0,5761;-2,7882;-2,1479;-0,5321;-2,2241;-2,4747;0,6407;2,93;1,7427;1,9262;0,6545;1,3226;1,0906;0,6253;1,4442;0,5274;2,5536;0,3319;-1,0976;1,4621;0,325;-1,0415;-0,4232;-5,5114;-0,935;-5,7136;-2,6699;-1,0028;0,5731;-0,6408;-4,5399;1,5933;2,6046;-0,2809;-3,0462;-1,1496;0,8049;0,4954;-0,9847;-0,5161;0,3351;0,4915;-1,282;0,6616;-0,5398
"nr";3,6197;1,6989;1,7272;10,7565;3,04;2,2865;-5,6372;-9,7222;-4,8309;-0,4842;-0,6212;-1,053;-1,42;2,469;-1,051;-0,6214;-3,7866;-3,5041;5,2666;-4,2645;5,9519;3,2759;0,4701;0,4305;3,1198;3,6737;8,3692;2,1975;0,3616;7,8733;3,4127;-4,3516;-0,7091;-0,5246;0,5181;1,4405;-4,0146;0,2974;-0,434;-1,2029;10,3305;-2,1672;-3,375;-0,6553;0,2834
"ver";-0,3087;-0,5354;-1,2899;1,0947;-0,6562;-0,4683;0,7474;-0,3789;-0,6964;0,3301;-0,3675;-0,3169;1,0307;-0,4336;-0,5061;2,9708;0,7227;0,3574;-0,7129;1,0168;0,454;0,5135;-1,1886;-2,0106;-0,7495;-1,2483;-1,1566;-0,4188;0,5174;-0,353;3,7704;-1,8841;-2,3763;-0,8991;-0,4107;0,7787;0,3468;-0,4654;0,7489;1,4744;-0,3577;1,3048;-0,4311;-0,7519;1,2447
