"";"*date_2020-06-26";"*date_2020-07-13";"*date_2020-12-16";"*date_2021-01-23";"*date_2021-03-23";"*date_2021-03-24";"*date_2021-04-04";"*date_2021-05-20";"*date_2021-05-21";"*date_2021-08-21";"*date_2021-08-23";"*date_2021-10-19";"*date_2021-10-21";"*date_2021-12-03";"*date_2022-04-20";"*date_2022-05-09";"*date_2022-06-16";"*date_2022-06-23";"*date_2022-06-25";"*date_2022-09-19";"*date_2022-10-25";"*date_2023-01-15";"*date_2023-02-05";"*date_2023-04-05";"*date_2023-05-22";"*date_2023-08-10";"*date_2023-10-27";"*date_2023-11-29";"*date_2023-12-19";"*date_2024-01-28";"*date_2024-02-10";"*date_2024-02-17";"*date_2024-09-26";"*date_2024-11-12";"*date_2025-03-21";"*date_2025-04-15";"*date_2025-04-27";"*date_2025-06-03";"*date_2025-06-19";"*date_2025-06-29";"*date_2025-07-07";"*date_2025-08-06";"*date_2025-08-07";"*date_2025-09-12";"*date_2026-03-11"
"nom";425;210;345;184;285;270;303;1130;440;1581;741;555;89;103;384;117;281;126;41;144;77;124;26;301;242;352;52;50;100;60;719;571;522;102;154;87;85;115;131;772;302;930;807;262;106
"art_def";267;96;174;56;118;114;167;690;274;905;431;375;37;51;214;50;120;58;22;67;46;56;13;109;104;187;21;29;51;27;493;360;285;48;84;45;48;66;46;407;171;509;415;109;52
"adj";135;39;93;10;74;73;64;332;135;417;227;197;16;32;150;29;90;30;13;46;19;35;7;39;86;118;20;21;23;16;169;199;150;22;47;27;30;16;34;229;96;296;254;68;25
"pre";285;128;266;105;149;140;173;720;290;1129;540;389;49;65;261;100;187;63;33;100;66;88;16;162;173;242;33;37;65;38;571;387;339;72;90;56;62;68;87;489;239;606;558;190;66
"pro_per";66;21;54;34;45;41;70;386;169;297;147;160;26;15;95;43;169;26;3;65;25;8;3;13;30;31;3;13;33;15;153;107;116;35;33;5;18;27;24;185;32;205;136;47;20
"art_ind";74;23;51;26;51;50;55;186;74;314;152;99;16;15;71;25;65;36;1;24;12;18;5;47;47;85;8;6;14;14;128;111;132;17;22;24;12;13;28;152;53;193;159;56;24
"con";72;26;48;20;48;46;54;284;120;278;136;118;15;20;87;26;86;13;3;59;19;15;9;22;45;39;6;21;21;10;135;96;108;18;35;9;21;25;22;183;57;164;154;42;19
"adv_sup";71;16;42;27;28;25;60;270;112;321;148;130;23;22;89;26;88;21;7;42;19;15;3;13;33;28;4;6;21;10;96;125;128;20;12;9;20;23;15;140;59;174;121;50;17
"nr";157;63;113;97;94;85;46;244;96;430;204;156;17;44;99;31;67;14;40;24;56;53;8;60;89;127;51;27;29;49;264;116;143;28;45;32;8;32;30;204;154;222;170;62;31
"ver";176;67;120;82;93;91;135;514;199;657;316;257;47;40;162;76;160;48;23;83;45;53;5;65;85;120;23;22;45;29;383;209;192;39;59;40;37;44;55;369;131;417;315;93;57
"pro_dem";12;4;14;11;8;9;29;106;48;66;37;41;6;6;26;3;57;12;3;9;12;1;0;14;12;3;0;3;3;2;23;30;57;7;6;1;9;13;5;86;15;54;26;7;6
"pro_rel";35;3;15;9;17;16;21;204;86;134;71;66;12;15;45;6;54;10;3;24;8;9;2;6;19;14;0;2;6;10;62;63;67;11;12;7;13;15;6;111;36;95;56;10;15
"aux";61;37;77;35;51;46;76;264;121;279;140;122;39;17;69;22;114;27;10;37;30;32;6;42;22;87;10;9;20;13;149;137;166;25;33;19;10;28;15;128;37;142;135;62;34
"adj_pos";20;10;13;19;15;13;20;64;27;81;37;31;12;11;16;8;24;6;4;24;7;3;0;7;16;10;3;8;8;1;51;24;5;19;4;2;6;5;10;57;14;39;60;28;8
"adv";12;12;10;6;1;2;14;48;20;74;38;29;5;3;17;3;11;10;2;8;5;6;1;0;6;16;0;5;7;4;24;27;28;6;6;1;2;4;2;37;15;33;26;3;6
"ver_sup";30;14;21;17;13;11;18;104;48;79;52;44;5;6;19;7;51;8;3;15;10;2;0;3;9;15;1;1;6;5;28;37;40;12;9;3;3;9;5;59;18;50;29;12;4
"adj_ind";4;0;11;1;9;8;27;36;13;42;23;15;3;4;8;3;8;2;0;6;1;2;0;2;6;4;1;1;1;0;24;8;7;0;0;0;0;2;4;12;7;21;28;4;2
"adj_dem";9;7;4;3;5;5;8;34;13;38;25;18;2;2;14;1;10;2;0;8;2;2;0;0;1;5;0;0;1;2;4;16;30;1;4;4;2;4;1;28;7;27;24;0;0
"pro_ind";16;4;12;0;3;2;10;64;29;50;28;38;2;0;18;3;18;2;4;10;5;1;1;5;9;10;1;0;2;2;38;40;22;9;4;4;5;10;4;37;9;41;31;5;5
