topic,rank,term,ctfidf_score
0,1,viking,0.110253
0,2,sweden,0.077347
0,3,viking age,0.06421
0,4,scandinavian,0.06192
0,5,age,0.058721
0,6,scandinavia,0.047898
0,7,norse,0.039661
0,8,denmark,0.031675
0,9,swedish,0.02626
0,10,sagas,0.018588
0,11,saga,0.016541
0,12,literature,0.016441
0,13,danish,0.015728
0,14,settlement,0.015486
0,15,burial,0.015232
1,1,english,0.045586
1,2,poetry,0.035547
1,3,music,0.034677
1,4,scots,0.032866
1,5,translation,0.027647
1,6,french,0.025978
1,7,language,0.024246
1,8,literature,0.023816
1,9,university,0.022778
1,10,studies,0.02242
1,11,renaissance,0.022183
1,12,england,0.021768
1,13,history,0.021046
1,14,texts,0.020892
1,15,press,0.020415
2,1,pagan,0.068754
2,2,christian,0.05399
2,3,god,0.041254
2,4,pagans,0.031621
2,5,religious,0.030954
2,6,magic,0.030732
2,7,original,0.02919
2,8,reformation,0.026889
2,9,biblical,0.02559
2,10,church,0.025466
2,11,saints,0.025252
2,12,christians,0.024523
2,13,faith,0.024507
2,14,religion,0.024071
2,15,christianity,0.021231
3,1,analysis,0.044404
3,2,population,0.042143
3,3,archaeological,0.033806
3,4,period,0.0337
3,5,remains,0.03178
3,6,ancient,0.030265
3,7,human,0.028062
3,8,evidence,0.027157
3,9,poland,0.02669
3,10,study,0.026517
3,11,cemetery,0.025699
3,12,archaeology,0.025141
3,13,bone,0.023714
3,14,skeletal,0.023047
3,15,northern,0.023025
4,1,merovingian,0.073849
4,2,und,0.073274
4,3,la,0.063537
4,4,mittelalter,0.047976
4,5,der,0.041824
4,6,en,0.039759
4,7,gregory,0.03836
4,8,gaul,0.035778
4,9,des,0.032842
4,10,von,0.030608
4,11,le,0.02935
4,12,el,0.027247
4,13,die,0.026563
4,14,spanish,0.026289
4,15,spain,0.025247
5,1,byzantine,0.062772
5,2,barbarians,0.061674
5,3,barbarian,0.054129
5,4,sicily,0.046148
5,5,roman,0.041228
5,6,norman,0.038582
5,7,italy,0.037248
5,8,rome,0.034636
5,9,empire,0.033135
5,10,lombard,0.030731
5,11,frankish,0.030068
5,12,franks,0.028122
5,13,gothic,0.025898
5,14,kingdom,0.025828
5,15,west,0.0241
6,1,ireland,0.055821
6,2,settlement,0.040049
6,3,urban,0.038238
6,4,irish,0.036825
6,5,england,0.036192
6,6,castle,0.031652
6,7,landscape,0.027724
6,8,excavations,0.026079
6,9,britain,0.024581
6,10,towns,0.022488
6,11,landscapes,0.019349
6,12,south,0.018884
6,13,yorkshire,0.018303
6,14,trade,0.017927
6,15,excavation,0.017872
7,1,law,0.079
7,2,england,0.05407
7,3,norman,0.052492
7,4,legal,0.048631
7,5,burgundian,0.041997
7,6,battle,0.040217
7,7,military,0.03761
7,8,power,0.032264
7,9,flanders,0.031339
7,10,warfare,0.02762
7,11,justice,0.023257
7,12,war,0.022474
7,13,alan,0.021268
7,14,conquest,0.021194
7,15,life,0.021123
8,1,civilization,0.116956
8,2,gold,0.062993
8,3,glass,0.05988
8,4,roman,0.049238
8,5,iron,0.044832
8,6,depicting,0.043169
8,7,silver,0.040666
8,8,art,0.040491
8,9,bronze,0.03935
8,10,italy,0.035128
8,11,merovingian,0.028364
8,12,production,0.027173
8,13,chemical,0.026665
8,14,analysis,0.024551
8,15,bc,0.023404
9,1,italy,0.154784
9,2,church,0.115042
9,3,miniature,0.078833
9,4,san,0.070932
9,5,mosaic,0.068535
9,6,ravenna,0.06076
9,7,france,0.059195
9,8,upper,0.055072
9,9,monastery,0.053502
9,10,list,0.053457
9,11,manuscript,0.051886
9,12,wall,0.050941
9,13,circa,0.050688
9,14,heritage,0.046282
9,15,panel,0.040981
10,1,jews,0.070858
10,2,jewish,0.063523
10,3,islam,0.062718
10,4,muslim,0.060958
10,5,islamic,0.060168
10,6,arabic,0.056269
10,7,saracens,0.05048
10,8,muslims,0.045326
10,9,spain,0.044374
10,10,ibn,0.037081
10,11,saracen,0.035485
10,12,crusade,0.032924
10,13,crusades,0.032765
10,14,christian,0.03051
10,15,egypt,0.02808
11,1,slaves,0.083541
11,2,slave,0.072958
11,3,slavery,0.069888
11,4,india,0.045329
11,5,migration,0.043032
11,6,african,0.042907
11,7,race,0.035626
11,8,africa,0.034961
11,9,trade,0.032115
11,10,ethnic,0.031761
11,11,education,0.029088
11,12,european,0.027244
11,13,europe,0.026365
11,14,war,0.026036
11,15,death,0.024363
12,1,art,0.083903
12,2,manuscripts,0.082168
12,3,architecture,0.044575
12,4,sculpture,0.040381
12,5,image,0.038594
12,6,text,0.037146
12,7,images,0.036885
12,8,manuscript,0.036148
12,9,text image,0.032647
12,10,visual,0.030641
12,11,space,0.027251
12,12,liturgical,0.024986
12,13,renaissance,0.024752
12,14,iconography,0.023642
12,15,library,0.021722
13,1,slavs,0.095801
13,2,slavic,0.073881
13,3,hungary,0.059012
13,4,hungarian,0.042354
13,5,archaeological,0.03796
13,6,eastern,0.034154
13,7,poland,0.031307
13,8,croatia,0.030266
13,9,slovenia,0.024654
13,10,cultural,0.024118
