n_clusters,Silhouette,Calinski_Harabasz,Davies_Bouldin,rank_sil,rank_ch,rank_db,rank_sum
2,0.2579,2865.85,1.3848,36.0,39.0,39.0,114.0
3,0.2809,3609.64,1.0621,28.0,36.0,38.0,102.0
4,0.2911,3393.47,0.85,22.0,38.0,22.0,82.0
5,0.3009,3470.74,0.7139,19.0,37.0,3.0,59.0
6,0.2643,3634.27,0.8429,34.0,35.0,20.0,89.0
7,0.282,3725.44,0.7867,27.0,31.0,5.0,63.0
8,0.2908,3716.92,0.8759,23.0,33.0,29.0,85.0
9,0.2715,3732.02,0.9434,33.0,30.0,33.0,96.0
10,0.2742,3694.73,0.7444,31.0,34.0,4.0,69.0
11,0.2768,3723.81,0.6038,30.0,32.0,1.0,63.0
12,0.2824,3761.72,0.6796,26.0,29.0,2.0,57.0
13,0.2423,3808.98,0.8241,39.0,28.0,13.0,80.0
14,0.2499,3902.0,0.8502,38.0,27.0,23.0,88.0
15,0.2571,4037.41,0.8784,37.0,26.0,30.0,93.0
16,0.2636,4153.97,0.8712,35.0,25.0,28.0,88.0
17,0.2733,4247.13,0.8337,32.0,24.0,17.0,73.0
18,0.2772,4335.45,0.8213,29.0,23.0,12.0,64.0
19,0.2839,4398.86,0.8144,25.0,22.0,11.0,58.0
20,0.2898,4458.76,0.8389,24.0,21.0,19.0,64.0
21,0.2968,4501.51,0.8343,21.0,20.0,18.0,59.0
22,0.2994,4552.98,0.7999,20.0,19.0,8.0,47.0
23,0.3066,4597.05,0.8072,15.0,18.0,9.0,42.0
24,0.3121,4632.61,0.7952,11.0,17.0,7.0,35.0
25,0.3125,4677.86,0.791,10.0,15.0,6.0,31.0
26,0.3132,4737.9,0.8102,7.0,11.0,10.0,28.0
27,0.306,4806.65,0.8327,16.0,8.0,16.0,40.0
28,0.3128,4854.85,0.846,8.0,5.0,21.0,34.0
29,0.3137,4892.69,0.8547,5.0,3.0,24.0,32.0
30,0.3135,4919.31,0.856,6.0,1.0,25.0,32.0
31,0.3158,4917.86,0.8302,3.0,2.0,15.0,20.0
32,0.3152,4886.1,0.8279,4.0,4.0,14.0,22.0
33,0.3165,4851.94,0.8631,1.0,6.0,26.0,33.0
34,0.3164,4820.84,0.8653,2.0,7.0,27.0,36.0
35,0.3127,4788.88,0.9091,9.0,9.0,31.0,49.0
36,0.3081,4762.53,0.9332,12.0,10.0,32.0,54.0
37,0.3067,4733.83,0.9602,14.0,12.0,34.0,60.0
38,0.3079,4706.68,0.9723,13.0,13.0,36.0,62.0
39,0.302,4679.81,0.9799,18.0,14.0,37.0,69.0
40,0.3041,4657.4,0.9609,17.0,16.0,35.0,68.0
