;F1;F2;F3;F4
barbarian;0.013126977055441323;0.0015318374236511611;0.000518110668772075;0.002246868258901032
barbarians;0.0001949824762815962;1.819701976836741e-06;0.0005158306614234811;0.0011035688479704181
romans;0.003925662249323619;0.00432851100010706;4.4942224161471473e-05;0.0015908121691414246
arian;0.09716703868607911;0.12900698024589607;0.0007318648628715615;0.02348878870854089
goths;0.013822124610544743;0.00012908709430037367;0.0005736023918658286;0.0003447289084053483
roman;0.0013091360189068158;0.0012451326325605052;0.002693636956386016;0.015962193395978555
barbarism;0.0001227524224398254;0.00013167545538878003;0.0009122754514786323;0.0006128636747178233
empire;0.00011270956128604274;0.000864822198695109;0.0007880364503521434;0.0033280114413680524
civilization;0.0008890365410089004;4.572497471159589e-06;0.0005748732403791979;0.0007537360732786517
bishop;0.05470686698375732;0.02113108530884752;0.0004994824493958618;0.0015409853759045691
huns;0.006027292832806522;0.014939058141741743;0.02928083533769969;0.006607564667604006
imperial;0.003045913949316506;0.0010972901735114753;2.1046459901037528e-07;0.011403201483782826
invasion;0.0008509490418083638;0.00263461646171731;0.000715704065613234;0.0009154339864425681
army;0.008966916466765248;0.015879942469708922;0.00033848145880067927;0.007970099717253383
vandal;0.0044097204544767225;3.7269127373075796e-05;1.0429455885357083e-05;0.00019775539565424874
civilized;0.00010413682391297217;0.0002423862387629634;0.0002921775885134308;0.0011515121406940414
nicene;0.07533400354387085;0.11670841632639599;0.0003473655142773855;0.025577873707470805
salvian;0.0002746391377832587;0.0003011126713932412;8.682229393053316e-07;0.00012768773221705644
barbarus;9.782570128604255e-06;4.286682648969067e-05;0.0003139487485252343;0.0002507289484548416
gothic;0.011230693947298545;0.00013269637772784978;0.00027573192710026866;0.0002191153345412137
people;0.00034193897304080675;0.0074018782663235316;0.01731834676677221;0.007215881420559765
gates;0.0022380944185613977;0.014557032624330193;0.06970962336877058;0.07783395490345917
tribe;0.0009431586780865454;0.007305889142285274;0.00010585430348054788;0.0007642443748726806
chrysostom;0.0009386554420091823;5.5737882715960505e-05;0.0006840807839412835;0.0009363962732804186
jerome;0.0037093660405350132;0.005601001332816873;0.04622494345042189;0.008075399755200989
visigoths;0.010719280720732489;0.01469687303833515;0.00012201697532684699;0.006812258615786025
gaul;0.0008173188106066402;8.577687425174093e-05;0.0005750911641351749;0.002242500824325665
bishops;0.007436448305620741;0.009761284471795107;1.849918880229269e-05;0.00021171532636876187
soldier;0.0035188181735543735;0.006676044200301034;0.000361913321906875;0.0035460126928004896
fifth;0.0015643162021662005;7.655288722307187e-05;0.0013264978937866938;0.006937666265488037
germanic;0.0002468752527448096;0.0023266347664781147;0.0013223120046973646;0.0009870569922966798
scythians;0.0003461277261572114;0.002720057954478274;0.004891064858623537;0.0049616158531052956
nicasie;5.011409003657055e-05;0.00021791768565457504;7.234979563481628e-09;0.00027789684876498014
emperor;0.012854425510212071;0.0020535630784145856;5.972540185986894e-05;0.017051212575371826
military;0.002926074096531324;0.009119634327609242;0.00047870425852156607;0.002677836613624401
christian;2.0652698252415912e-06;0.00012203010771329387;0.004137191958251043;1.2954367281259745e-05
rome;0.0015435692271671018;3.626789706931895e-05;0.017155172324238455;0.028764009449241176
group;6.613834659700077e-06;0.005377648372604758;0.00018220663344035163;0.012925594137022774
franks;0.00012940488187062813;0.00020216918084561115;0.00038564085345035783;2.055739388053598e-05
frontier;0.00016990298445051832;0.00018880663841109923;1.2331147523907216e-05;0.00011987647143135725
hunnic;0.0029882697926841757;0.00888944914405987;0.016438897399507275;0.004091051320090172
