;F1;F2;F3;F4
barbarian;0.20202462002855487;0.0170652159781905;0.0050883737105840866;0.016237119936635677
barbarians;0.006252727026343292;4.2226471108034336e-05;0.010557080642682227;0.016618897894064077
romans;0.140946236505837;0.11249786258746448;0.0010297391106223672;0.026828376585896554
arian;0.3392154399212877;0.32601339276777785;0.0016304795429771047;0.0385372688036301
goths;0.2906844710979877;0.001965037549091096;0.007697505536250205;0.0034137880742146466
roman;0.020862621348609254;0.014363889150611158;0.02739435027394596;0.11947479606740118
barbarism;0.00807211162891847;0.006267924823388343;0.03828487744297336;0.01892735868102637
empire;0.005044428484321862;0.028018864654214833;0.022508135538849568;0.0699554954115103
civilization;0.05022340985170749;0.00018698682562476795;0.02072533038634894;0.019999240444946043
bishop;0.39734351306058924;0.11109932692679503;0.002315073837602122;0.0052627898453641245
huns;0.07397299095411451;0.1327203334534556;0.22933183327094678;0.03806642180040783
imperial;0.09525101240222687;0.02483978349070573;4.207893156248546e-06;0.16748528635871907
invasion;0.048515003373643666;0.10873194917178806;0.02604057961618356;0.024501582160065052
army;0.11999735988924089;0.15383058292714105;0.0028905186005748484;0.05008572557574171
vandal;0.08437617766793976;0.0005162163585664453;0.00012734920269091097;0.001777398416181329
civilized;0.006881273329355163;0.011594062818917774;0.012321211935534796;0.03573892190926578
nicene;0.30543030314676584;0.34252266909728407;0.0008987596575170913;0.04872840844205821
salvian;0.001390982732195098;0.0011039881053396471;2.803005098912785e-06;0.0003043958661464542
barbarus;0.0009858478013968245;0.0031269877247134233;0.02019138520172531;0.011866529568862291
gothic;0.30027565861075634;0.002568386948496934;0.004704095962447956;0.002759821429005136
people;0.006644994480732711;0.10412489243091264;0.2147768629130844;0.06586308704154685
gates;0.015049706718811333;0.07085814535106097;0.2991452628399997;0.24583260738049745
tribe;0.02627612158476332;0.14733759087236664;0.0018822280665679453;0.009995489250141484
chrysostom;0.008782851207628967;0.000377633249663342;0.004085335637541525;0.004111957252347964
jerome;0.03786251305564509;0.041385126375403605;0.30110907176746793;0.03872107542906962
visigoths;0.1456883462265753;0.1445938091937356;0.0010583180583852618;0.04352948343272253
gaul;0.035063740314946065;0.002663781091191612;0.01574497979107621;0.0451796198002358
bishops;0.24911388722386973;0.2367041461278748;0.00039548706055347595;0.003326908237896485
soldier;0.0973423013232846;0.13368740846332589;0.006388795826823351;0.04605935370391594
fifth;0.06026601151824255;0.0021349181346352435;0.032612960426548966;0.12554019974149558
germanic;0.006712873121598936;0.045795528400014635;0.02294623651368276;0.01260526534962884
scythians;0.008390042989956489;0.047727330844261305;0.07565829082427418;0.05646990037794325
nicasie;0.004590219708417098;0.01444876048664074;4.2337908354437604e-07;0.011953292554215763
emperor;0.21751910035436775;0.02515495125325884;0.0006450390406375754;0.13552418097167418
military;0.07517620751560068;0.16960520957208503;0.007848503942018933;0.0323024421569872
christian;2.917085739033772e-05;0.0012477421667852905;0.03729204123905657;8.625416614458086e-05
rome;0.02493247102483036;0.0004240397824666009;0.1768362172687399;0.21823065886215268
group;0.00010511700064726305;0.06186840870931703;0.0018481803840961896;0.09648335808867745
franks;0.0057050914734536814;0.006452069270802437;0.010849892444842036;0.00042640506921120744
frontier;0.011062661987516468;0.008899123960221727;0.000512318617400129;0.0036623019723140953
hunnic;0.05642782915449718;0.12150996387639831;0.19809615814925252;0.03626253127773575
elton;0.010809029131937027;0.009682200736876806;0.004090621722502168;0.01791858615051523
identity;0.11805432052397478;0.00010192924958927627;0.06003684302854485;0.05401442248900095
oikoumene;0.01713130650262381;0.08202615441051642;0.36716199115281756;0.2883989356127298
visigothic;0.06543513732213313;0.03399735998323056;0.003494013285152166;0.0029761948618570663
gens;0.007186521579689842;0.0004333208043678226;0.019239615247214306;0.018432696430777554
constantinople;0.21976267041789008;0.015212034228540908;0.014702263539715052;0.0525091574007925
fravitta;0.042154603014324235;0.00115616168241036;0.001455238208612678;0.0032910783708989884
tyras;0.0006388782859715015;0.000912112422088274;0.008467681459061736;0.003419710346745022
antiquity;0.08762853479309848;0.08625015240691683;0.14514846069287707;0.04649496942145082
pohl;0.037049515495125966;0.004658478951334106;0.00042746807603332516;0.0033292301022583687
ambrose;0.03624185923828994;0.013040087031328132;0.00720221511493163;0.0013678989072986316
acts;0.0009499160927749876;0.00036799862931429276;0.013398972093539172;0.004298410559607628
ethnicity;0.05031315518033847;0.0015905097637178018;0.00821000085168775;0.0312731844193014
non;0.04595111389508797;0.05260523005832835;0.06081026187781521;0.0044782647769846026
caucasus;0.01717355123723093;0.08007123407834373;0.34153939448101356;0.2760132781946452
valens;0.18860373541733377;0.007197978923361007;0.0014958837769592282;0.010768388104474011
europe;0.29237540912502763;0.012262341892179639;0.0034911082057862606;0.01814249288107627
moral;0.0006383068047722348;0.01925901298799083;0.12413963363144587;0.03487619490557095
alaric;0.07730081133026492;0.02061700077579379;0.08797307875332229;0.07701872094483252
