id,nw_degree,nw_degree_w,nw_betweenness,nw_closeness,nw_pagerank,nw_katz,nw_eigenvector,nw_clustering,label,genre
"Di Saverio, Salomone_2025-11-19T21:18:17",8,1.0,0.0,0.0005396042901871961,6.226013668225926e-05,0.0,7.395734221299712e-22,0.008928571428571426,"Di Saverio, Salomone",male
"Bormane, D. S._2025-11-19T21:27:53",1,1.0,0.0,6.661781360335754e-05,6.661337596589395e-05,0.0,1.3160677783372845e-22,0.0,Dattatraya S. Bormane,unknown
"Hossameldin, Yehia H._2025-11-19T21:26:20",3,1.0,0.0,0.0001998534408100726,6.661337596589395e-05,0.0,1.316067778337285e-22,0.023809523809523808,Yehia H. Hossameldin,male
"Khramchenkova, Rezida Kh_2025-11-19T21:48:24",1,1.0,0.0,0.00011991206448604355,5.39046741773248e-05,0.0,9.914469371082395e-20,0.0,"Khramchenkova, Rezida Kh",female
"von Arx, Georg_2025-11-19T21:49:26",14,0.9999999999999997,1.056432935324679e-07,0.07969365668979984,3.987785774347603e-05,0.0,1.666103166211572e-09,0.005298671875705598,"von Arx, Georg",male
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50",107,2.999999999999995,0.0017915408267385928,0.10069434683055505,0.00010423978128931477,0.0,9.980595548487266e-10,0.0008693407999895111,"Gnecchi-Ruscone, Guido Alberto",male
"Adhikari, Basanta R_2025-11-19T21:26:47",10,0.9999999999999999,0.0,0.0006661781360335754,6.661337596589394e-05,0.0,1.316067778337285e-22,0.0071428571428571435,"Adhikari, Basanta R",male
"Roberds, William_2025-11-19T21:27:38",1,1.0,0.0,6.661781360335754e-05,6.661337596589395e-05,0.0,1.3160677783372845e-22,0.0,"Roberds, William",male
"Grimshaw, Patricia_2025-11-19T21:17:26",49,1.0000000000000007,1.0739203343928311e-08,0.08132628281743715,5.402042962543329e-05,0.0,1.5720278333156958e-07,0.001463853585534211,"Grimshaw, Patricia",female
"Akhavi, Shahrough_2025-11-19T21:28:55",26,0.9999999999999996,3.550583003510062e-10,0.06949985964250541,6.1016062754514164e-05,0.0,6.825643881267404e-10,0.002750991120628128,"Akhavi, Shahrough",male
"Tassignon, Isabelle_2025-11-19T21:19:30",1,1.0,0.0,6.661781360335754e-05,6.661337596589395e-05,0.0,1.3160677783372845e-22,0.0,"Tassignon, Isabelle",female
"Le Digol, Yannick_2025-11-19T21:22:22",49,1.0000000000000007,1.2615028710993276e-05,0.07984584687999166,4.060546412240799e-05,0.0,1.1601861724908917e-09,0.0015942370862102192,"Le Digol, Yannick",male
"Viret, Jérémie_2025-11-19T21:18:47",3,1.0,0.0,0.00023792076286913407,5.8647308611636025e-05,0.0,1.3651721047264645e-21,0.023809523809523808,"Viret, Jérémie",male
"Schuler, L.A._2025-11-19T21:24:19",1,1.0,0.0,6.661781360335754e-05,6.661337596589395e-05,0.0,1.3160677783372845e-22,0.0,"Schuler, L.A.",unknown
"Cubitt, Rachel S._2025-11-19T21:38:46",11,1.0000000000000002,1.563341421906535e-05,0.07114403668814143,4.895995944593682e-05,0.0,8.477689196698026e-13,0.0066612559384142235,"Cubitt, Rachel S.",female
"GUICHON, Romain_2026-01-14T22:01:23",4,1.0,0.0,0.00026647125441343016,6.661337596589395e-05,0.0,1.316067778337285e-22,0.017857142857142853,"GUICHON, Romain",male
"Nyström, Veronica_2025-11-19T21:21:14",12,2.0,2.256268692194779e-06,0.08565540790397201,6.580574847449768e-05,0.0,2.282914302743068e-11,0.009605049646521273,"Nyström, Veronica",female
НИКОЛАЕВА ИРИНА ЮРЬЕВНА_2025-11-19T21:41:10,1,1.0,0.0,6.661781360335754e-05,6.661337596589395e-05,0.0,1.3160677783372845e-22,0.0,НИКОЛАЕВА ИРИНА ЮРЬЕВНА,unknown
"Lauritsen, J.M._2025-11-19T21:26:33",4,1.0,0.0,0.0748217763899385,4.779745553126567e-05,0.0,1.1636924064603621e-11,0.021868471487206182,"Lauritsen, J.M.",unknown
"Moiseyev, Vyacheslav_2025-11-19T21:16:51",138,5.999999999999988,0.002917632776547636,0.10044463983283514,0.00020029701328993542,0.0,7.448999167671366e-10,0.0008340114860415824,"Moiseyev, Vyacheslav",male
"Ilardi, Vincenzo_2025-11-19T21:18:03",8,1.0,0.0,0.0005329425088268603,6.661337596589394e-05,0.0,1.3160677783372852e-22,0.008928571428571426,"Ilardi, Vincenzo",male
"Daci, Evis_2025-11-19T21:28:37",9,1.0000000000000002,0.0,0.0005995603224302178,6.661337596589395e-05,0.0,1.3160677783372843e-22,0.007936507936507936,"Daci, Evis",unknown
University of Minnesota_2025-11-19T21:21:50,21,21.0,0.001160738842592492,0.05243169160829694,0.00045905318453367416,0.0,4.03493566775139e-08,0.0,University of Minnesota,male
"Fugelso, Karl_2025-11-19T21:29:55",1,1.0,0.0,6.661781360335754e-05,6.661337596589395e-05,0.0,1.3160677783372845e-22,0.0,"Fugelso, Karl",male
"Nam, Seung-Il_2025-11-19T21:20:25",10,0.9999999999999999,0.0,0.000703650656185464,6.354146720059705e-05,0.0,4.0792499551276323e-22,0.0071428571428571435,"Nam, Seung-Il",male
"Jefferies, Henry A._2025-11-19T21:24:40",12,1.0,0.0,0.0007994137632402904,6.661337596589396e-05,0.0,1.316067778337286e-22,0.005952380952380951,"Jefferies, Henry A.",male
"Clout, Hugh_2025-11-19T21:17:34",51,2.0000000000000013,0.00027663479826097777,0.07704328067304095,0.00010674438318783873,0.0,1.1999847567214483e-07,0.001374954877582596,"Clout, Hugh",male
"Lacambre, D._2025-11-19T21:50:31",3,1.0,2.1895261854978715e-07,0.0007890926935270942,2.847522296782125e-05,0.0,2.93181845749482e-07,0.035620567321503184,"Lacambre, D.",unknown
"Dutton, David_2025-11-19T21:17:33",48,1.0000000000000007,3.9713085707669875e-10,0.08141568042731813,5.3539006676083836e-05,0.0,1.1569337527195851e-07,0.0014941999138750124,"Dutton, David",male
"Melville, Gert_2025-11-19T21:22:50",2,1.0,0.0,0.00013323562720671508,6.661337596589395e-05,0.0,1.3160677783372845e-22,0.03571428571428571,"Melville, Gert",male
"Freuling, C M_2025-11-19T21:33:52",1,1.0,0.0,6.661781360335754e-05,6.661337596589395e-05,0.0,1.3160677783372845e-22,0.0,"Freuling, C M",unknown
"Braga, Lucia Libanez Bessa Campelo_2025-11-19T21:18:34",7,0.9999999999999998,0.0,0.00046632469522350274,6.661337596589398e-05,0.0,1.3160677783372873e-22,0.010204081632653057,"Braga, Lucia Libanez Bessa Campelo",female
"Germain, Tom_2025-11-19T21:20:23",6,0.9999999999999999,0.0,0.0007837389835689123,5.9895658796658185e-05,0.0,8.999976745795613e-22,0.011904761904761902,"Germain, Tom",male
ЧАГИН Г.Н._2025-11-19T21:47:55,1,1.0,0.0,6.661781360335754e-05,6.661337596589395e-05,0.0,1.3160677783372845e-22,0.0,ЧАГИН Г.Н.,unknown
"Štular, Benjamin_2025-11-19T21:21:28",11,7.0,0.00022159410436344012,0.060524755190422816,0.0001815103095722345,0.0,1.8455482537959903e-11,0.005065234309473384,"Štular, Benjamin",male
"Gan, Peretz_2025-11-19T21:16:41",8,1.0,0.0,0.0005396042901871961,6.226013668225926e-05,0.0,7.395734221299704e-22,0.008928571428571426,"Gan, Peretz",male
"Cortelazzo, G.M._2025-11-19T21:24:18",5,1.0,0.0,0.0003330890680167877,6.661337596589395e-05,0.0,1.316067778337285e-22,0.014285714285714287,"Cortelazzo, G.M.",unknown
"Hagenblad, Jenny_2025-11-19T21:18:31",17,2.0,6.391049406318112e-07,0.0011325028312570782,0.00011807562561317407,0.0,6.302228208797901e-22,0.0039390756302521,"Hagenblad, Jenny",female
"Kulka, O. D._2025-11-19T21:50:49",1,1.0,0.0,6.661781360335754e-05,6.661337596589395e-05,0.0,1.3160677783372845e-22,0.0,"Kulka, O. D.",male
"Stollmann, Rainer_2025-11-19T21:20:47",61,3.0000000000000013,6.3069566509718215e-09,0.07057458998681793,8.090234950552374e-05,0.0,6.481923785779836e-12,0.0030844740600073457,"Stollmann, Rainer",male
Ekin Kaynak Iltar_2025-11-19T21:18:00,4,1.0,0.0,0.00026647125441343016,6.661337596589395e-05,0.0,1.316067778337285e-22,0.017857142857142853,Ekin Kaynak Iltar,unknown
