id,degree,degree_w,betweenness,closeness,pagerank,katz,eigenvector,clustering,label,genre
"Di Saverio, Salomone_2025-11-19T21:18:17",8,8,0.0,0.0005396042901871961,7.037757705997651e-05,0.0075564859247435985,4.1470230566711695e-34,0.037037037037037035,"Di Saverio, Salomone",male
"Bormane, D. S._2025-11-19T21:27:53",1,1,0.0,6.661781360335754e-05,6.661337596589395e-05,0.007206989134791904,2.0148157949611013e-52,0.0,Dattatraya S. Bormane,unknown
"Hossameldin, Yehia H._2025-11-19T21:26:20",3,3,0.0,0.0001998534408100726,6.661337596589395e-05,0.00730341549525076,5.408479966763857e-44,0.037037037037037035,Yehia H. Hossameldin,male
"Khramchenkova, Rezida Kh_2025-11-19T21:48:24",1,1,0.0,0.00011991206448604355,5.39046741773248e-05,0.007207609152845445,9.862322990716307e-49,0.0,"Khramchenkova, Rezida Kh",female
"von Arx, Georg_2025-11-19T21:49:26",14,14,3.096914864127722e-07,0.07969365668979984,4.3254624493143934e-05,0.007995378994580277,5.478924197585647e-08,0.03818017194986126,"von Arx, Georg",male
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50",107,121,0.0004134280559610628,0.10069434683055505,0.000169169171338164,0.015867233526923017,0.0002038737309417437,0.018267006769560123,"Gnecchi-Ruscone, Guido Alberto",male
"Adhikari, Basanta R_2025-11-19T21:26:47",10,10,0.0,0.0006661781360335754,6.661337596589394e-05,0.0076622257921971975,1.0824071506325375e-31,0.03703703703703704,"Adhikari, Basanta R",male
"Roberds, William_2025-11-19T21:27:38",1,1,0.0,6.661781360335754e-05,6.661337596589395e-05,0.007206989134791904,2.0148157949611013e-52,0.0,"Roberds, William",male
"Grimshaw, Patricia_2025-11-19T21:17:26",49,49,8.625414090292962e-09,0.08132628281743715,6.168414674142432e-05,0.01161684938188288,4.2564645386292896e-08,0.037190126839837495,"Grimshaw, Patricia",female
"Akhavi, Shahrough_2025-11-19T21:28:55",26,26,2.335909870730304e-10,0.06949985964250541,6.491804911613593e-05,0.00871007399652184,2.4723850039028967e-09,0.037066657669503685,"Akhavi, Shahrough",male
"Tassignon, Isabelle_2025-11-19T21:19:30",1,1,0.0,6.661781360335754e-05,6.661337596589395e-05,0.007206989134791904,2.0148157949611013e-52,0.0,"Tassignon, Isabelle",female
"Le Digol, Yannick_2025-11-19T21:22:22",49,49,8.647128161519673e-06,0.07984584687999166,8.17891907506677e-05,0.01079502218310784,2.11456923452989e-07,0.038574959340311715,"Le Digol, Yannick",male
"Viret, Jérémie_2025-11-19T21:18:47",3,3,0.0,0.00023792076286913407,6.489934804911915e-05,0.007304048012519183,3.291333146920453e-43,0.037037037037037035,"Viret, Jérémie",male
"Schuler, L.A._2025-11-19T21:24:19",1,1,0.0,6.661781360335754e-05,6.661337596589395e-05,0.007206989134791904,2.0148157949611013e-52,0.0,"Schuler, L.A.",unknown
"Cubitt, Rachel S._2025-11-19T21:38:46",11,11,6.229786622700904e-07,0.07114403668814143,5.932709184912958e-05,0.007733261713377316,6.962684761699613e-10,0.03756213006712769,"Cubitt, Rachel S.",female
"GUICHON, Romain_2026-01-14T22:01:23",4,4,0.0,0.00026647125441343016,6.661337596589395e-05,0.007352602799029769,2.7961186074303167e-41,0.037037037037037035,"GUICHON, Romain",male
