Topic,Obs (Main),Att (Main),Residu Ajusté,p-value,Statut,Contrib Tot (%)
ART_14 | ,231,132.3,11.03,0.0000e+00,SUR (+),20.21
ART_1 | ,335,220.3,10.25,0.0000e+00,SUR (+),16.4
ART_18 | ,33,17.1,4.78,1.7234e-06,SUR (+),4.1
ART_0 | ,103,72.0,4.61,3.9763e-06,SUR (+),3.68
ART_13 | archeologie_peuplement,70,45.7,4.49,7.0209e-06,SUR (+),3.55
CHAP_1 | ,48,33.8,3.05,2.2806e-03,SUR (+),1.65
CHAP_15 | ,25,17.1,2.38,1.7121e-02,SUR (+),1.02
ART_7 | ,69,58.0,1.82,6.9204e-02,ns,0.58
CHAP_4 | ,36,28.3,1.8,7.2214e-02,ns,0.57
ART_13 | archeologie_objets,73,62.1,1.74,8.1198e-02,ns,0.53
CHAP_7 | ,22,17.4,1.37,1.7112e-01,ns,0.34
CHAP_6 | ,19,15.7,1.04,3.0040e-01,ns,0.19
CHAP_3 | ,17,14.3,0.88,3.8137e-01,ns,0.14
CHAP_10 | ,3,2.0,0.82,4.1106e-01,ns,0.12
ART_11 | ,20,17.7,0.67,5.0483e-01,ns,0.08
CHAP_12 | ,3,2.7,0.2,8.3918e-01,ns,0.01
ART_15 | ,18,17.7,0.08,9.3735e-01,ns,0.0
CHAP_11 | ,4,5.5,-0.77,4.4173e-01,ns,0.11
ART_5 | ,18,21.8,-1.02,3.0988e-01,ns,0.18
CHAP_2 | ,16,19.8,-1.05,2.9226e-01,ns,0.2
CHAP_5 | ,9,11.9,-1.05,2.9344e-01,ns,0.2
ART_9 | ,2,4.8,-1.57,1.1726e-01,ns,0.44
CHAP_13 | ,0,1.7,-1.61,1.0753e-01,ns,0.47
ART_3 | ,32,40.6,-1.68,9.2843e-02,ns,0.5
ART_10 | ,4,8.9,-2.02,4.3509e-02,SOUS (-),0.73
CHAP_16 | ,0,2.7,-2.04,4.1711e-02,SOUS (-),0.75
ART_6 | ,10,17.4,-2.2,2.8143e-02,SOUS (-),0.86
ART_8 | ,16,26.6,-2.55,1.0687e-02,SOUS (-),1.16
ART_2 | ,16,26.9,-2.62,8.8332e-03,SOUS (-),1.22
CHAP_14 | ,5,15.0,-3.2,1.3908e-03,SOUS (-),1.83
CHAP_8 | ,3,11.9,-3.2,1.3840e-03,SOUS (-),1.84
ART_17 | ,5,16.4,-3.48,5.0289e-04,SOUS (-),2.17
ART_4 | ,14,38.2,-4.88,1.0577e-06,SOUS (-),4.21
CHAP_9 | ,15,73.0,-8.56,0.0000e+00,SOUS (-),12.65
NO_TOPIC | Sans topic,319,495.8,-11.75,0.0000e+00,SOUS (-),17.32
