id,degree,degree_w,betweenness,closeness,pagerank,katz,eigenvector,clustering,label,genre,nw_degree,nw_degree_w,nw_betweenness,nw_closeness,nw_pagerank,nw_katz,nw_eigenvector,nw_clustering
A. I. Taymazov_2025-11-19T21:36:45,4,4,0.0,0.00026647125441343016,6.661337596589395e-05,0.007352602799029769,2.7961186074303167e-41,0.037037037037037035,A. I. Taymazov,unknown,4,1.0,0.0,0.00026647125441343016,6.661337596589395e-05,0.0,1.316067778337285e-22,0.017857142857142853
A. J. White_2025-11-19T21:34:11,4,4,0.0,0.00026647125441343016,6.661337596589395e-05,0.007352602799029769,2.7961186074303167e-41,0.037037037037037035,A. J. White,unknown,4,1.0,0.0,0.00026647125441343016,6.661337596589395e-05,0.0,1.316067778337285e-22,0.017857142857142853
A. K. Abiev_2025-11-19T21:36:45,4,4,0.0,0.00026647125441343016,6.661337596589395e-05,0.007352602799029769,2.7961186074303167e-41,0.037037037037037035,A. K. Abiev,unknown,4,1.0,0.0,0.00026647125441343016,6.661337596589395e-05,0.0,1.316067778337285e-22,0.017857142857142853
A. L. Budaychiev_2025-11-19T21:36:45,4,4,0.0,0.00026647125441343016,6.661337596589395e-05,0.007352602799029769,2.7961186074303167e-41,0.037037037037037035,A. L. Budaychiev,unknown,4,1.0,0.0,0.00026647125441343016,6.661337596589395e-05,0.0,1.316067778337285e-22,0.017857142857142853
A. M. Abdulaev_2025-11-19T21:36:45,4,4,0.0,0.00026647125441343016,6.661337596589395e-05,0.007352602799029769,2.7961186074303167e-41,0.037037037037037035,A. M. Abdulaev,unknown,4,1.0,0.0,0.00026647125441343016,6.661337596589395e-05,0.0,1.316067778337285e-22,0.017857142857142853
A. Shapur Shahbazi_2026-01-14T22:06:37,1,1,0.0,0.05954462535444605,1.2365318476141371e-05,0.007217154977136152,2.4111119727496105e-11,0.0,,unknown,1,1.0,0.0,0.05954462535444605,5.712502880058895e-05,0.0,4.224535445652345e-11,0.0
A.M. Hostalot Abás_2025-11-19T21:37:15,4,4,0.0,0.00026647125441343016,6.661337596589395e-05,0.007352602799029769,2.7961186074303167e-41,0.037037037037037035,A.M. Hostalot Abás,unknown,4,1.0,0.0,0.00026647125441343016,6.661337596589395e-05,0.0,1.316067778337285e-22,0.017857142857142853
"AMITAI, REUVEN_2025-11-19T21:23:41",1,1,0.0,6.661781360335754e-05,6.661337596589395e-05,0.007206989134791904,2.0148157949611013e-52,0.0,"AMITAI, REUVEN",male,1,1.0,0.0,6.661781360335754e-05,6.661337596589395e-05,0.0,1.3160677783372845e-22,0.0
"ANDERUNG, CECILIA_2025-11-19T21:25:18",3,3,0.0,0.07980405950207213,2.242492321155272e-05,0.007353503940558783,1.3447850685597603e-07,0.037037037037037035,"ANDERUNG, CECILIA",female,3,1.0,0.0,0.07980405950207213,3.946051062437318e-05,0.0,4.2973781334140855e-11,0.023809523809523808
"ARNOLD, JOHN H._2025-11-19T21:23:48",2,2,8.876457508775155e-09,0.00013323562720671508,8.567642864874767e-05,0.007254257811321043,4.729991359071318e-50,0.0,"ARNOLD, JOHN H.",male,2,2.0,8.876457508775155e-09,0.00013323562720671508,8.567642864874767e-05,0.0,9.986863610353775e-21,0.0
"ARSUAGA, JUAN LUIS_2025-11-19T21:25:08",8,8,3.268013601460888e-07,0.08575741910830387,3.2653308252411586e-05,0.007710893829000781,2.0907230844950314e-07,0.03796583415370671,"ARSUAGA, JUAN LUIS",male,8,1.0,0.0,0.08575741910830387,4.26649246902649e-05,0.0,1.3572454125414689e-09,0.009099342966523353
"Aalders, Ypie_2025-11-19T21:22:38",3,3,0.0,0.00023792076286913407,6.489934804911914e-05,0.007304048012519183,3.291333146920452e-43,0.037037037037037035,"Aalders, Ypie",female,3,1.0,0.0,0.00023792076286913407,5.8647308611636025e-05,0.0,1.3651721047264647e-21,0.023809523809523808
