source,target,weight
69825516c835c41957dfd2c5,69825517c835c41957e0086b,2
69825516c835c41957dfd2c5,69825517c835c41957dffd68,2
69825516c835c41957dfd2c5,69825516c835c41957dfb7aa,1
69825516c835c41957dfd2c5,69825517c835c41957e00222,1
69825516c835c41957dfd2c5,69825516c835c41957dfa965,1
69825516c835c41957dfd2c5,69825516c835c41957dfb443,1
69825516c835c41957dfd2c5,69825517c835c41957e00980,1
69825517c835c41957dff7f8,69825517c835c41957dffa33,2
69825517c835c41957dff7f8,69825516c835c41957dff21b,2
69825517c835c41957dff7f8,69825517c835c41957dffc6e,8
69825517c835c41957dff7f8,69825516c835c41957dfc2e0,1
69825517c835c41957dff7f8,69825517c835c41957e00841,6
69825517c835c41957dff7f8,69825516c835c41957dfd253,2
69825517c835c41957dff7f8,69825516c835c41957dfe803,5
69825517c835c41957dff7f8,69825517c835c41957dff59e,2
69825517c835c41957dff7f8,69825517c835c41957e009fc,3
69825517c835c41957dff7f8,69825517c835c41957e00e87,2
69825517c835c41957dff7f8,69825516c835c41957dfcd3b,2
69825516c835c41957dfe0c7,69825516c835c41957dfa4e0,1
69825516c835c41957dfe0c7,69825516c835c41957dfe0c8,2
69825516c835c41957dfe0c7,69825516c835c41957dfe0c6,2
69825516c835c41957dfe0c7,69825517c835c41957e00540,2
69825516c835c41957dfe0c7,69825516c835c41957dfe0c5,2
69825516c835c41957dfbbf5,69825516c835c41957dfbc10,1
69825516c835c41957dfbbf5,69825516c835c41957dfbc20,1
69825516c835c41957dfbbf5,69825516c835c41957dfbbb2,1
69825516c835c41957dfbbf5,69825516c835c41957dfbc09,1
69825516c835c41957dfbbf5,69825516c835c41957dfbbea,1
69825516c835c41957dfbbf5,69825516c835c41957dfbbf8,1
69825516c835c41957dfbbf5,69825516c835c41957dfbbd4,1
69825516c835c41957dfbbf5,69825516c835c41957dfbbb9,1
69825516c835c41957dfbbf5,69825516c835c41957dfbc2c,1
69825516c835c41957dfbbf5,69825516c835c41957dfbbe4,1
69825516c835c41957dfbbf5,69825516c835c41957dfbbfd,1
69825516c835c41957dfbbf5,69825516c835c41957dfbc0e,1
69825516c835c41957dfbbf5,69825516c835c41957dfbc27,1
69825516c835c41957dfbbf5,69825516c835c41957dfbc23,1
69825516c835c41957dfbbf5,69825516c835c41957dfbc1b,1
69825516c835c41957dfbbf5,69825516c835c41957dfbbba,1
69825516c835c41957dfbbf5,69825516c835c41957dfbc0f,1
69825516c835c41957dfbbf5,69825516c835c41957dfbbb8,1
69825516c835c41957dfbbf5,69825516c835c41957dfbbc3,1
69825516c835c41957dfbbf5,69825516c835c41957dfbbb7,1
69825516c835c41957dfd0fc,69825517c835c41957e019f9,2
69825516c835c41957dfd0fc,69825516c835c41957dfe5e5,1
69825516c835c41957dfd0fc,69825517c835c41957e009b6,3
69825516c835c41957dfd0fc,69825517c835c41957e00a2c,1
69825516c835c41957dfd0fc,69825516c835c41957df9c99,7
69825516c835c41957dfd0fc,69825517c835c41957e01a78,1
69825516c835c41957dfd0fc,69825516c835c41957dfa160,1
69825516c835c41957dfd0fc,69825517c835c41957e00648,2
69825516c835c41957dfd0fc,69825516c835c41957dfc16e,1
69825516c835c41957dfd0fc,69825516c835c41957dfc519,4
69825516c835c41957dfd0fc,69825516c835c41957dfef50,1
69825516c835c41957dfd0fc,69825517c835c41957e012b0,1
69825516c835c41957dfd0fc,69825517c835c41957e01139,1
69825516c835c41957dfd0fc,69825516c835c41957dfe2af,1
69825516c835c41957dfd0fc,69825517c835c41957e010f4,1
69825516c835c41957dfd0fc,69825516c835c41957dfe795,10
69825516c835c41957dfd0fc,69825516c835c41957dfed83,12
69825516c835c41957dfd0fc,69825516c835c41957dfb966,1
69825516c835c41957dfd0fc,69825516c835c41957dfa9e8,1
69825517c835c41957dffe41,69825517c835c41957e0174b,1
69825517c835c41957dffe41,69825516c835c41957dfdb65,1
69825517c835c41957e016c6,69825517c835c41957e016b4,2
69825517c835c41957e016c6,69825517c835c41957e01662,3
69825517c835c41957e016c6,69825517c835c41957e01620,5
69825517c835c41957e016c6,69825517c835c41957e015d3,2
69825517c835c41957e016c6,69825517c835c41957e0157c,1
69825517c835c41957e016c6,69825517c835c41957e01661,1
69825517c835c41957e016c6,69825517c835c41957e015be,3
69825517c835c41957e016c6,69825517c835c41957e015b0,4
69825517c835c41957e016c6,69825517c835c41957e01617,1
