year,reseau,n_noeuds,n_liens,densite,composantes,taille_lcc,pct_lcc,diametre_lcc,clustering_moyen,degre_moyen,degre_pond_moyen
1975,simple,30,36,0.08275862068965517,10,6,20.0,2,0.3447949998266754,2.4,2.6
1975,newman,30,36,0.08275862068965517,10,6,20.0,2,0.25129550306314663,2.4,1.1
1975,pub,11,1,0.01818181818181818,10,2,18.181818181818183,1,0.0,0.18181818181818182,0.5454545454545454
1976,simple,74,161,0.05960755275823769,23,14,18.91891891891892,1,0.21746783050044752,4.351351351351352,4.702702702702703
1976,newman,74,161,0.05960755275823769,23,14,18.91891891891892,1,0.08540367317640925,4.351351351351352,1.162162162162162
1976,pub,27,7,0.019943019943019943,23,4,14.814814814814813,1,0.08631815858940604,0.5185185185185185,1.2592592592592593
1977,simple,103,316,0.06015610127546164,26,16,15.53398058252427,1,0.14940733523772676,6.135922330097087,6.640776699029126
1977,newman,103,316,0.06015610127546164,26,16,15.53398058252427,1,0.05389148539223617,6.135922330097087,1.2427184466019416
1977,pub,35,20,0.03361344537815126,26,6,17.142857142857142,1,0.1491253702362539,1.1428571428571428,2.742857142857143
1978,simple,130,369,0.04400715563506261,33,16,12.307692307692308,1,0.10941889134387407,5.676923076923077,6.3538461538461535
1978,newman,130,369,0.04400715563506261,33,16,12.307692307692308,1,0.05494346437303928,5.676923076923077,1.2692307692307692
1978,pub,45,34,0.03434343434343434,33,8,17.77777777777778,1,0.09781404648248024,1.511111111111111,3.7777777777777777
1979,simple,153,391,0.033625730994152045,42,16,10.457516339869281,1,0.09131614002026392,5.111111111111111,5.908496732026144
1979,newman,153,391,0.033625730994152045,42,16,10.457516339869281,1,0.055424429065392446,5.111111111111111,1.2941176470588236
1979,pub,57,52,0.03258145363408521,42,10,17.543859649122805,1,0.08819359386768928,1.8245614035087718,4.491228070175438
1980,simple,162,397,0.030442450732305806,45,16,9.876543209876543,1,0.07804149755204112,4.901234567901234,5.790123456790123
1980,newman,162,397,0.030442450732305806,45,16,9.876543209876543,1,0.046162118807018065,4.901234567901234,1.3395061728395061
1980,pub,65,87,0.041826923076923074,45,14,21.53846153846154,2,0.0835941865609868,2.6769230769230767,5.7846153846153845
1981,simple,190,421,0.023447507658033974,56,16,8.421052631578947,1,0.06838826885208316,4.431578947368421,5.2
1981,newman,190,421,0.023447507658033974,56,16,8.421052631578947,1,0.03932158814784204,4.431578947368421,1.3
1981,pub,77,100,0.03417634996582365,56,15,19.480519480519483,2,0.07323390007315174,2.5974025974025974,5.454545454545454
1982,simple,225,488,0.019365079365079366,66,16,7.111111111111111,1,0.05710169838579314,4.337777777777778,5.066666666666666
1982,newman,225,488,0.019365079365079366,66,16,7.111111111111111,1,0.034128330891010576,4.337777777777778,1.2933333333333332
1982,pub,91,132,0.03223443223443224,66,17,18.681318681318682,2,0.07603370867492992,2.901098901098901,6.1098901098901095
1983,simple,240,502,0.017503486750348674,71,16,6.666666666666667,1,0.05570081569537756,4.183333333333334,4.925
1983,newman,240,502,0.017503486750348674,71,16,6.666666666666667,1,0.03385311073587835,4.183333333333334,1.3083333333333333
1983,pub,100,169,0.03414141414141414,71,19,19.0,2,0.07482295120716183,3.38,6.78
1984,simple,276,581,0.01530961791831357,83,21,7.608695652173914,2,0.05530329944559934,4.2101449275362315,5.130434782608695
1984,newman,276,581,0.01530961791831357,83,21,7.608695652173914,2,0.03528482612884194,4.2101449275362315,1.3224637681159421
1984,pub,117,198,0.029177718832891247,83,21,17.94871794871795,3,0.05139251234473736,3.3846153846153846,6.598290598290598
1985,simple,301,601,0.013311184939091916,93,21,6.976744186046512,2,0.05373225993880778,3.993355481727575,4.863787375415282
1985,newman,301,601,0.013311184939091916,93,21,6.976744186046512,2,0.03536354252634451,3.993355481727575,1.3156146179401993
1985,pub,130,226,0.02695289206917114,93,23,17.692307692307693,3,0.04813831486868942,3.476923076923077,6.6461538461538465
1986,simple,328,620,0.011561124785559783,104,21,6.402439024390244,2,0.051492500737453754,3.7804878048780486,4.603658536585366
1986,newman,328,620,0.011561124785559783,104,21,6.402439024390244,2,0.0351304126053635,3.7804878048780486,1.3201219512195121
1986,pub,147,257,0.02394930574969714,104,25,17.006802721088434,3,0.044153844893670566,3.496598639455782,6.448979591836735
1987,simple,362,648,0.00991720359345587,117,21,5.801104972375691,2,0.05014759428390526,3.5801104972375692,4.3259668508287294
1987,newman,362,648,0.00991720359345587,117,21,5.801104972375691,2,0.03542462920837213,3.5801104972375692,1.2955801104972375
1987,pub,162,260,0.01993712138639675,117,25,15.432098765432098,3,0.042123139090758675,3.2098765432098766,5.888888888888889
1988,simple,422,787,0.008859519762245163,134,21,4.976303317535545,2,0.050252236458541516,3.7298578199052135,4.369668246445498
