year,newman_n_noeuds,pub_n_noeuds,simple_n_noeuds,newman_n_liens,pub_n_liens,simple_n_liens,newman_densite,pub_densite,simple_densite,newman_composantes,pub_composantes,simple_composantes,newman_taille_lcc,pub_taille_lcc,simple_taille_lcc,newman_pct_lcc,pub_pct_lcc,simple_pct_lcc,newman_diametre_lcc,pub_diametre_lcc,simple_diametre_lcc,newman_clustering_moyen,pub_clustering_moyen,simple_clustering_moyen,newman_degre_moyen,pub_degre_moyen,simple_degre_moyen,newman_degre_pond_moyen,pub_degre_pond_moyen,simple_degre_pond_moyen
1975,30,11,30,36,1,36,0.08275862068965517,0.01818181818181818,0.08275862068965517,10,10,10,6,2,6,20.0,18.181818181818183,20.0,2,1,2,0.25129550306314663,0.0,0.3447949998266754,2.4,0.18181818181818182,2.4,1.1,0.5454545454545454,2.6
1976,74,27,74,161,7,161,0.05960755275823769,0.019943019943019943,0.05960755275823769,23,23,23,14,4,14,18.91891891891892,14.814814814814813,18.91891891891892,1,1,1,0.08540367317640925,0.08631815858940604,0.21746783050044752,4.351351351351352,0.5185185185185185,4.351351351351352,1.162162162162162,1.2592592592592593,4.702702702702703
1977,103,35,103,316,20,316,0.06015610127546164,0.03361344537815126,0.06015610127546164,26,26,26,16,6,16,15.53398058252427,17.142857142857142,15.53398058252427,1,1,1,0.05389148539223617,0.1491253702362539,0.14940733523772676,6.135922330097087,1.1428571428571428,6.135922330097087,1.2427184466019416,2.742857142857143,6.640776699029126
1978,130,45,130,369,34,369,0.04400715563506261,0.03434343434343434,0.04400715563506261,33,33,33,16,8,16,12.307692307692308,17.77777777777778,12.307692307692308,1,1,1,0.05494346437303928,0.09781404648248024,0.10941889134387407,5.676923076923077,1.511111111111111,5.676923076923077,1.2692307692307692,3.7777777777777777,6.3538461538461535
1979,153,57,153,391,52,391,0.033625730994152045,0.03258145363408521,0.033625730994152045,42,42,42,16,10,16,10.457516339869281,17.543859649122805,10.457516339869281,1,1,1,0.055424429065392446,0.08819359386768928,0.09131614002026392,5.111111111111111,1.8245614035087718,5.111111111111111,1.2941176470588236,4.491228070175438,5.908496732026144
1980,162,65,162,397,87,397,0.030442450732305806,0.041826923076923074,0.030442450732305806,45,45,45,16,14,16,9.876543209876543,21.53846153846154,9.876543209876543,1,2,1,0.046162118807018065,0.0835941865609868,0.07804149755204112,4.901234567901234,2.6769230769230767,4.901234567901234,1.3395061728395061,5.7846153846153845,5.790123456790123
1981,190,77,190,421,100,421,0.023447507658033974,0.03417634996582365,0.023447507658033974,56,56,56,16,15,16,8.421052631578947,19.480519480519483,8.421052631578947,1,2,1,0.03932158814784204,0.07323390007315174,0.06838826885208316,4.431578947368421,2.5974025974025974,4.431578947368421,1.3,5.454545454545454,5.2
1982,225,91,225,488,132,488,0.019365079365079366,0.03223443223443224,0.019365079365079366,66,66,66,16,17,16,7.111111111111111,18.681318681318682,7.111111111111111,1,2,1,0.034128330891010576,0.07603370867492992,0.05710169838579314,4.337777777777778,2.901098901098901,4.337777777777778,1.2933333333333332,6.1098901098901095,5.066666666666666
1983,240,100,240,502,169,502,0.017503486750348674,0.03414141414141414,0.017503486750348674,71,71,71,16,19,16,6.666666666666667,19.0,6.666666666666667,1,2,1,0.03385311073587835,0.07482295120716183,0.05570081569537756,4.183333333333334,3.38,4.183333333333334,1.3083333333333333,6.78,4.925
1984,276,117,276,581,198,581,0.01530961791831357,0.029177718832891247,0.01530961791831357,83,83,83,21,21,21,7.608695652173914,17.94871794871795,7.608695652173914,2,3,2,0.03528482612884194,0.05139251234473736,0.05530329944559934,4.2101449275362315,3.3846153846153846,4.2101449275362315,1.3224637681159421,6.598290598290598,5.130434782608695
